STAGE 1 -- all inequivalent 3 x weight-8 classes

raw solutions 10341, inequivalent classes 1057

idx    |U_3|     minwt   raw        column-type counts
78     11276     6       16         4 0 0 0 0 1 1 1 4 1 1 0 1 0 0 
79     11276     6       12         2 1 1 1 1 1 2 2 1 1 0 0 0 0 1 
80     11276     6       24         4 0 0 0 0 0 1 2 2 2 1 1 0 0 1 
81     11276     6       4          5 0 0 0 0 0 0 0 1 1 1 1 1 1 3 
82     11276     6       48         4 0 0 0 0 1 1 1 2 1 1 0 1 0 2 
83     11276     6       12         3 0 1 1 1 1 1 1 1 1 0 0 0 0 3 
84     11276     6       48         4 0 0 0 0 1 1 1 2 1 1 0 3 0 0 
85     11276     6       16         3 0 1 1 1 1 1 1 1 1 0 0 0 2 1 
86     11276     6       48         3 0 0 1 0 2 2 1 2 1 1 0 1 0 0 
87     11276     6       16         2 0 1 2 1 2 2 1 1 1 0 0 0 0 1 
88     11276     6       4          4 0 0 1 0 1 1 0 1 1 1 1 1 1 1 
89     11288     8       9          0 0 0 1 0 2 2 4 3 0 0 1 1 0 0 
90     11288     8       18         0 0 0 1 1 1 2 4 1 0 3 0 0 1 0 
91     11288     8       18         1 0 0 0 0 1 1 4 1 0 4 1 1 0 0 
92     11288     8       18         0 0 0 1 1 1 2 4 1 0 1 2 0 1 0 
93     11288     8       9          2 0 0 0 0 0 1 2 0 0 1 3 2 2 1 
94     11288     8       9          2 0 0 0 0 0 1 2 0 0 3 3 0 2 1 
95     11288     8       9          0 0 1 1 1 1 2 3 0 0 0 2 1 1 1 
96     11288     8       9          0 0 0 2 0 2 2 3 0 0 2 0 1 1 1 
97     11288     8       18         1 0 0 1 0 1 3 1 0 0 2 0 1 3 1 
98     11288     8       9          1 0 0 1 0 1 3 1 0 0 0 0 3 3 1 
99     11288     8       18         0 0 0 2 1 1 2 3 0 0 1 1 0 2 1 
100    11288     8       18         0 0 0 2 1 1 2 3 0 0 3 1 0 0 1 
101    11288     8       18         1 0 0 1 0 1 2 2 0 0 3 1 0 2 1 
102    11288     8       9          2 0 0 0 0 0 0 3 0 0 2 4 1 1 1 
103    11288     8       9          1 0 0 1 0 1 2 2 0 0 1 1 2 2 1 
104    11288     8       18         0 0 0 1 0 2 3 3 1 0 3 0 0 1 0 
105    11288     8       18         0 0 0 1 0 2 3 3 1 0 1 0 2 1 0 
106    11288     8       9          1 0 0 1 0 1 1 3 0 0 4 0 1 1 1 
107    11288     8       9          1 0 0 1 0 1 1 3 0 0 2 2 1 1 1 
108    11288     8       9          0 0 1 1 1 1 1 4 0 0 1 3 0 0 1 
109    11288     8       18         1 0 0 0 0 1 2 3 1 0 1 2 2 1 0 
110    11288     8       18         0 0 0 1 0 2 2 4 1 0 2 1 1 0 0 
111    11288     8       18         1 0 0 0 0 1 1 4 1 0 2 3 1 0 0 
112    11288     8       18         1 0 0 0 0 1 2 3 1 0 3 2 0 1 0 
113    11288     8       18         1 0 0 0 0 1 2 3 1 0 3 0 2 1 0 
114    11288     8       18         0 0 0 1 1 1 3 3 1 0 0 1 1 2 0 
115    11288     8       9          1 0 0 0 0 1 1 4 5 0 0 1 1 0 0 
116    11288     8       9          1 0 0 0 0 1 1 4 3 0 0 3 1 0 0 
117    11296     6       24         1 0 0 1 1 3 3 2 0 1 1 0 1 0 0 
118    11296     6       24         1 0 0 1 2 2 2 3 0 1 1 0 1 0 0 
119    11296     6       12         1 0 0 0 2 2 3 3 1 1 0 0 0 0 1 
120    11296     6       24         2 0 0 0 1 1 2 3 0 2 1 1 0 0 1 
121    11296     6       24         2 0 0 0 0 1 3 3 0 3 1 0 1 0 0 
122    11296     6       24         2 0 0 0 1 2 2 2 0 1 1 0 1 0 2 
123    11296     6       24         2 0 0 0 1 2 2 2 0 1 1 0 3 0 0 
124    11308     8       6          0 0 0 1 0 2 3 1 1 0 1 0 0 3 2 
125    11308     8       6          0 0 0 1 0 2 3 1 1 0 3 0 0 3 0 
126    11308     8       6          1 0 0 1 0 1 2 0 0 0 1 1 0 4 3 
127    11308     8       3          0 0 0 2 0 2 2 1 0 0 0 0 1 3 3 
128    11308     8       3          0 0 0 0 0 2 2 3 2 0 0 2 1 1 1 
129    11308     8       3          1 0 0 1 0 1 1 1 0 0 0 2 1 3 3 
130    11308     8       6          0 0 0 1 0 1 2 3 1 1 0 2 0 2 1 
131    11308     8       6          0 0 0 2 1 1 1 2 0 0 0 2 1 1 3 
132    11308     8       6          0 0 0 1 1 1 1 3 1 0 0 3 1 0 2 
133    11308     8       6          0 0 0 1 0 1 4 1 1 1 0 0 0 4 1 
134    11308     8       3          2 0 0 0 0 0 0 1 0 0 0 4 1 3 3 
135    11308     8       6          1 0 0 0 0 1 1 2 1 0 0 3 3 0 2 
136    11308     8       3          1 0 0 0 0 1 1 2 1 0 0 3 1 2 2 
137    11308     8       3          0 0 0 1 0 2 2 2 1 0 0 1 1 2 2 
138    11308     8       6          0 0 0 1 0 2 2 2 1 0 0 1 3 0 2 
139    11308     8       3          0 0 0 3 1 1 1 1 1 0 0 1 1 0 4 
140    11308     8       6          0 0 0 1 0 1 4 1 1 5 0 0 0 0 1 
141    11308     8       6          0 0 0 0 0 1 2 4 2 1 0 3 0 1 0 
142    11308     8       6          1 0 0 0 0 0 1 3 1 5 0 0 0 2 1 
143    11308     8       6          1 0 0 0 0 0 1 3 1 1 0 4 0 2 1 
144    11310     8       24         2 0 0 1 0 1 2 2 1 1 2 0 1 1 0 
145    11310     8       6          0 0 2 2 2 2 2 2 0 0 0 0 0 0 2 
146    11310     8       6          2 0 1 1 1 1 1 1 0 0 1 1 1 1 2 
147    11310     8       24         0 1 1 2 1 2 2 3 0 0 2 0 0 0 0 
148    11310     8       48         1 0 0 1 1 2 2 3 2 0 2 0 0 0 0 
149    11310     8       24         1 0 0 1 1 2 2 3 4 0 0 0 0 0 0 
150    11310     8       6          3 0 0 1 0 1 1 0 0 2 2 0 0 2 2 
151    11310     8       24         3 0 0 1 0 1 1 0 0 0 2 0 2 2 2 
152    11310     8       12         2 0 0 0 1 1 2 2 2 0 1 1 1 1 0 
153    11310     8       12         1 0 1 1 1 1 2 3 1 1 1 1 0 0 0 
154    11310     8       6          4 0 0 0 0 0 0 0 0 0 2 2 2 2 2 
155    11310     8       24         1 0 1 2 1 2 1 2 0 2 0 0 0 0 2 
156    11310     8       24         3 0 0 0 0 1 1 1 3 0 0 1 2 1 1 
157    11310     8       24         3 0 0 0 0 1 1 1 1 0 2 1 2 1 1 
158    11310     8       24         2 0 0 1 0 1 1 3 1 1 3 1 0 0 0 
159    11310     8       24         1 0 1 2 1 2 1 2 0 0 2 0 0 0 2 
160    11310     8       12         2 0 0 2 1 1 1 1 2 0 2 0 0 2 0 
161    11310     8       24         2 0 0 2 1 1 1 1 2 0 0 0 0 2 2 
162    11310     8       12         3 0 0 0 0 0 1 2 3 3 0 0 1 1 0 
163    11310     8       48         3 0 0 0 0 0 1 2 1 3 0 2 1 1 0 
164    11310     8       24         2 0 0 0 0 2 2 2 4 0 0 0 2 0 0 
165    11310     8       12         3 0 0 0 0 0 1 2 1 1 2 2 1 1 0 
166    11310     8       24         2 0 0 0 1 1 1 3 4 0 0 2 0 0 0 
167    11310     8       24         2 0 0 0 1 1 1 3 2 0 2 2 0 0 0 
168    11310     8       6          1 1 1 1 1 1 2 2 0 0 1 1 1 1 0 
169    11310     8       24         2 0 0 0 0 2 2 2 2 0 2 0 2 0 0 
170    11310     8       24         1 0 1 1 1 2 2 2 1 0 1 0 1 0 1 
171    11310     8       12         3 0 0 0 0 0 0 3 1 1 3 3 0 0 0 
172    11310     8       24         2 0 0 1 1 1 1 2 3 0 0 1 0 1 1 
173    11310     8       48         2 0 0 1 1 1 1 2 1 0 2 1 0 1 1 
174    11310     8       12         1 1 1 1 1 1 1 3 0 0 2 2 0 0 0 
175    11310     8       24         2 0 0 2 1 1 1 1 0 0 2 0 0 2 2 
176    11310     8       12         0 0 1 1 2 2 3 3 2 0 0 0 0 0 0 
177    11310     8       48         2 0 0 1 0 1 2 2 1 3 0 0 1 1 0 
178    11316     6       6          2 0 0 0 0 0 2 3 0 0 2 2 1 1 1 
179    11316     6       12         1 0 0 1 0 1 3 3 0 0 2 0 1 1 1 
180    11316     6       12         1 0 0 1 0 1 2 4 0 0 3 1 0 0 1 
181    11316     6       24         1 0 0 0 0 1 3 4 1 0 2 1 1 0 0 
182    11316     8       16         0 0 0 0 2 3 3 3 0 1 1 0 1 0 0 
183    11316     6       12         0 0 0 1 1 1 4 4 1 0 1 0 0 1 0 
184    11316     6       6          0 0 1 1 1 1 3 4 0 0 1 1 0 0 1 
185    11316     6       6          2 0 0 0 0 0 1 4 0 0 3 3 0 0 1 
186    11330     8       18         1 0 0 1 0 1 3 2 0 2 0 0 2 2 0 
187    11330     8       9          0 0 0 2 1 1 3 3 4 0 0 0 0 0 0 
188    11330     8       12         2 0 0 0 0 0 2 2 0 4 0 2 2 0 0 
189    11330     8       9          1 0 0 0 0 2 2 3 1 1 1 1 2 0 0 
190    11330     8       9          2 0 0 0 1 1 1 1 0 0 0 2 2 2 2 
191    11330     8       6          0 0 0 2 2 2 2 2 0 0 2 0 0 2 0 
192    11330     8       9          0 0 0 2 2 2 2 2 0 0 0 0 0 2 2 
193    11330     8       12         1 0 0 1 1 1 2 2 0 3 0 1 1 0 1 
194    11330     8       18         1 0 0 1 1 1 2 2 0 1 0 1 1 2 1 
195    11330     8       18         0 0 1 1 1 3 2 2 0 0 0 0 2 0 2 
196    11330     8       12         0 0 1 1 1 3 2 2 0 0 2 0 2 0 0 
197    11330     8       18         1 0 0 1 0 1 3 2 0 2 2 0 0 2 0 
