STAGE-1 UNDETECTED SET U_8   (218 errors)

IXIIIIIIIIIIII  X_1
IIIIIIIIZIIIII  Z_8
IIIIIIIIIZIIII  Z_9
IIIIIIIIIIYIII  Y_10
IXIIIIIIZIIIII  X_1 Z_8
IXIIIIIIIZIIII  X_1 Z_9
IXIIIIIIIIYIII  X_1 Y_10
IIIIZXIIIIIIII  Z_4 X_5
IIIIIIXIIIIIYI  X_6 Y_12
IIIIIIIZIIIXII  Z_7 X_11
IIIIIIIIZZIIII  Z_8 Z_9
IIIIIIIIZIYIII  Z_8 Y_10
IIIIIIIIIZYIII  Z_9 Y_10
IXIIZXIIIIIIII  X_1 Z_4 X_5
IXIIIIXIIIIIYI  X_1 X_6 Y_12
IXIIIIIZIIIXII  X_1 Z_7 X_11
IXIIIIIIZZIIII  X_1 Z_8 Z_9
IXIIIIIIZIYIII  X_1 Z_8 Y_10
IXIIIIIIIZYIII  X_1 Z_9 Y_10
IIIIZXIIZIIIII  Z_4 X_5 Z_8
IIIIZXIIIZIIII  Z_4 X_5 Z_9
IIIIZXIIIIYIII  Z_4 X_5 Y_10
IIIIIIXIZIIIYI  X_6 Z_8 Y_12
IIIIIIXIIZIIYI  X_6 Z_9 Y_12
IIIIIIXIIIYIYI  X_6 Y_10 Y_12
IIIIIIIZZIIXII  Z_7 Z_8 X_11
IIIIIIIZIZIXII  Z_7 Z_9 X_11
IIIIIIIZIIYXII  Z_7 Y_10 X_11
IIIIIIIIZZYIII  Z_8 Z_9 Y_10
XYIZZIIIIIIIII  X_0 Y_1 Z_3 Z_4
XZIZZIIIIIIIII  X_0 Z_1 Z_3 Z_4
XYIZIXIIIIIIII  X_0 Y_1 Z_3 X_5
XZIZIXIIIIIIII  X_0 Z_1 Z_3 X_5
YYIIXIIIIIIYII  Y_0 Y_1 X_4 Y_11
YZIIXIIIIIIYII  Y_0 Z_1 X_4 Y_11
ZYIIIIXIIIIIIZ  Z_0 Y_1 X_6 Z_13
ZZIIIIXIIIIIIZ  Z_0 Z_1 X_6 Z_13
ZYIIIIIIIIIIYZ  Z_0 Y_1 Y_12 Z_13
ZZIIIIIIIIIIYZ  Z_0 Z_1 Y_12 Z_13
YIYYIIIIIIXIII  Y_0 Y_2 Y_3 X_10
YIYYIIIIIIZIII  Y_0 Y_2 Y_3 Z_10
YIZXIIIIIIIIIX  Y_0 Z_2 X_3 X_13
XIYZIIIIIIIIIY  X_0 Y_2 Z_3 Y_13
ZIXYIIIIIIIIIZ  Z_0 X_2 Y_3 Z_13
ZIYIYIIXIIIIII  Z_0 Y_2 Y_4 X_7
XIXIXIIYIIIIII  X_0 X_2 X_4 Y_7
YIZIZIIZIIIIII  Y_0 Z_2 Z_4 Z_7
YIZIZIIIIIIXII  Y_0 Z_2 Z_4 X_11
YIXIIZYIIIIIII  Y_0 X_2 Z_5 Y_6
YIZIIXIZIIIIII  Y_0 Z_2 X_5 Z_7
YIZIIXIIIIIXII  Y_0 Z_2 X_5 X_11
ZIZIIYIIIIIIXI  Z_0 Z_2 Y_5 X_12
YIYIIIZIIIIZII  Y_0 Y_2 Z_6 Z_11
XIZIIIIIIIXIIZ  X_0 Z_2 X_10 Z_13
XIZIIIIIIIZIIZ  X_0 Z_2 Z_10 Z_13
XIZIIIIIIIIYZI  X_0 Z_2 Y_11 Z_12
YIIYYIYIIIIIII  Y_0 Y_3 Y_4 Y_6
ZIIZYIIIIIIYII  Z_0 Z_3 Y_4 Y_11
ZIIXIYZIIIIIII  Z_0 X_3 Y_5 Z_6
XIIYIYIYIIIIII  X_0 Y_3 Y_5 Y_7
YIIZIIZYIIIIII  Y_0 Z_3 Z_6 Y_7
XIIXIIYIIIIYII  X_0 X_3 Y_6 Y_11
XIIYIIIIXIIIZI  X_0 Y_3 X_8 Z_12
XIIYIIIIYIIIZI  X_0 Y_3 Y_8 Z_12
ZIIZIIIIIXIIXI  Z_0 Z_3 X_9 X_12
ZIIZIIIIIYIIXI  Z_0 Z_3 Y_9 X_12
ZIIXIIIIIIXIIY  Z_0 X_3 X_10 Y_13
ZIIXIIIIIIZIIY  Z_0 X_3 Z_10 Y_13
ZIIIXYIIIIIIIZ  Z_0 X_4 Y_5 Z_13
ZIIIYZIIIIIIIZ  Z_0 Y_4 Z_5 Z_13
XIIIYIIIXIIIIX  X_0 Y_4 X_8 X_13
XIIIYIIIYIIIIX  X_0 Y_4 Y_8 X_13
XIIIXIIIIIXIXI  X_0 X_4 X_10 X_12
XIIIXIIIIIZIXI  X_0 X_4 Z_10 X_12
ZIIIZIIIIIIZZI  Z_0 Z_4 Z_11 Z_12
YIIIIYXIIIIYII  Y_0 Y_5 X_6 Y_11
XIIIIZIZIIIIXI  X_0 Z_5 Z_7 X_12
YIIIIZIIXIIIIY  Y_0 Z_5 X_8 Y_13
YIIIIZIIYIIIIY  Y_0 Z_5 Y_8 Y_13
XIIIIZIIIIIXXI  X_0 Z_5 X_11 X_12
