STAGE-1 UNDETECTED SET U_8   (218 errors)

IIYIIIIIIIIIII  Y_2
IIIIIIIIIIXIII  X_10
IIIIIIIIIIIZII  Z_11
IIIIIIIIIIIIIZ  Z_13
IXIYIIIIIIIIII  X_1 Y_3
IIYIIIIIIIXIII  Y_2 X_10
IIYIIIIIIIIZII  Y_2 Z_11
IIYIIIIIIIIIIZ  Y_2 Z_13
IIIIIZIIYIIIII  Z_5 Y_8
IIIIIIXIIXIIII  X_6 X_9
IIIIIIIIIIXZII  X_10 Z_11
IIIIIIIIIIXIIZ  X_10 Z_13
IIIIIIIIIIIZIZ  Z_11 Z_13
IXYYIIIIIIIIII  X_1 Y_2 Y_3
IXIYIIIIIIXIII  X_1 Y_3 X_10
IXIYIIIIIIIZII  X_1 Y_3 Z_11
IXIYIIIIIIIIIZ  X_1 Y_3 Z_13
IIYIIZIIYIIIII  Y_2 Z_5 Y_8
IIYIIIXIIXIIII  Y_2 X_6 X_9
IIYIIIIIIIXZII  Y_2 X_10 Z_11
IIYIIIIIIIXIIZ  Y_2 X_10 Z_13
IIYIIIIIIIIZIZ  Y_2 Z_11 Z_13
IIIIIZIIYIXIII  Z_5 Y_8 X_10
IIIIIZIIYIIZII  Z_5 Y_8 Z_11
IIIIIZIIYIIIIZ  Z_5 Y_8 Z_13
IIIIIIXIIXXIII  X_6 X_9 X_10
IIIIIIXIIXIZII  X_6 X_9 Z_11
IIIIIIXIIXIIIZ  X_6 X_9 Z_13
IIIIIIIIIIXZIZ  X_10 Z_11 Z_13
YYXIIIYIIIIIII  Y_0 Y_1 X_2 Y_6
YYZIIIYIIIIIII  Y_0 Y_1 Z_2 Y_6
XZIXIIIIIIIIYI  X_0 Z_1 X_3 Y_12
XYIZIIIIIIIIYI  X_0 Y_1 Z_3 Y_12
XYIIYXIIIIIIII  X_0 Y_1 Y_4 X_5
YXIIYIXIIIIIII  Y_0 X_1 Y_4 X_6
YZIIZIIIXIIIII  Y_0 Z_1 Z_4 X_8
YXIIYIIIIXIIII  Y_0 X_1 Y_4 X_9
ZZIIIXXIIIIIII  Z_0 Z_1 X_5 X_6
ZZIIIXIIIXIIII  Z_0 Z_1 X_5 X_9
YYIIIZIIIYIIII  Y_0 Y_1 Z_5 Y_9
XXIIIYIIIZIIII  X_0 X_1 Y_5 Z_9
ZYIIIIZXIIIIII  Z_0 Y_1 Z_6 X_7
XYIIIIIYZIIIII  X_0 Y_1 Y_7 Z_8
YYIIIIIIYYIIII  Y_0 Y_1 Y_8 Y_9
YZIIIIIIIIIIZX  Y_0 Z_1 Z_12 X_13
YZIIIIIIIIIIZY  Y_0 Z_1 Z_12 Y_13
ZIXIIZIIIIIIZI  Z_0 X_2 Z_5 Z_12
ZIZIIZIIIIIIZI  Z_0 Z_2 Z_5 Z_12
XIXIIIXXIIIIII  X_0 X_2 X_6 X_7
XIZIIIXXIIIIII  X_0 Z_2 X_6 X_7
XIXIIIIXIXIIII  X_0 X_2 X_7 X_9
XIZIIIIXIXIIII  X_0 Z_2 X_7 X_9
ZIXIIIIIYIIIZI  Z_0 X_2 Y_8 Z_12
ZIZIIIIIYIIIZI  Z_0 Z_2 Y_8 Z_12
YIIYYIXIIIIIII  Y_0 Y_3 Y_4 X_6
XIIXXIYIIIIIII  X_0 X_3 X_4 Y_6
ZIIZZIZIIIIIII  Z_0 Z_3 Z_4 Z_6
YIIYYIIIIXIIII  Y_0 Y_3 Y_4 X_9
XIIYIYIIIZIIII  X_0 Y_3 Y_5 Z_9
YIIXIIIXXIIIII  Y_0 X_3 X_7 X_8
XIIXIIIZIYIIII  X_0 X_3 Z_7 Y_9
ZIIZIIIIZIYIII  Z_0 Z_3 Z_8 Y_10
ZIIZIIIIZIZIII  Z_0 Z_3 Z_8 Z_10
ZIIXIIIIIIIIXX  Z_0 X_3 X_12 X_13
ZIIXIIIIIIIIXY  Z_0 X_3 X_12 Y_13
ZIIIYYIIIYIIII  Z_0 Y_4 Y_5 Y_9
YIIIZIIZIIYIII  Y_0 Z_4 Z_7 Y_10
YIIIZIIZIIZIII  Y_0 Z_4 Z_7 Z_10
YIIIYIIYIIIIXI  Y_0 Y_4 Y_7 X_12
XIIIZIIXIIIIYI  X_0 Z_4 X_7 Y_12
ZIIIXIIZIIIIZI  Z_0 X_4 Z_7 Z_12
YIIIXIIIZZIIII  Y_0 X_4 Z_8 Z_9
XIIIYIIIIIYIZI  X_0 Y_4 Y_10 Z_12
XIIIYIIIIIZIZI  X_0 Y_4 Z_10 Z_12
XIIIIYYIIIYIII  X_0 Y_5 Y_6 Y_10
XIIIIYYIIIZIII  X_0 Y_5 Y_6 Z_10
XIIIIXIZIIIXII  X_0 X_5 Z_7 X_11
XIIIIXIZIIIYII  X_0 X_5 Z_7 Y_11
ZIIIIYIXIIIIIX  Z_0 Y_5 X_7 X_13
ZIIIIYIXIIIIIY  Z_0 Y_5 X_7 Y_13
YIIIIYIIXIIIXI  Y_0 Y_5 X_8 X_12
YIIIIXIIZIIIXI  Y_0 X_5 Z_8 X_12
