Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)

Weight 1:
  E1      = XIIIIIIIIIIIII
  E2      = YIIIIIIIIIIIII
  E3      = ZIIIIIIIIIIIII
  E4      = IXIIIIIIIIIIII
  E5      = IYIIIIIIIIIIII
  E6      = IZIIIIIIIIIIII
  E7      = IIXIIIIIIIIIII
  E8      = IIIXIIIIIIIIII
  E9      = IIIIXIIIIIIIII
  E10     = IIIIIXIIIIIIII
  E11     = IIIIIIXIIIIIII
  E12     = IIIIIIIXIIIIII
  E13     = IIIIIIIIXIIIII
  E14     = IIIIIIIIIXIIII

Weight 2:
  E1      = XXIIIIIIIIIIII
  E2      = YXIIIIIIIIIIII
  E3      = ZXIIIIIIIIIIII
  E4      = XYIIIIIIIIIIII
  E5      = YYIIIIIIIIIIII
  E6      = ZYIIIIIIIIIIII
  E7      = XZIIIIIIIIIIII
  E8      = YZIIIIIIIIIIII
  E9      = ZZIIIIIIIIIIII
  E10     = XIXIIIIIIIIIII
  E11     = YIXIIIIIIIIIII
  E12     = ZIXIIIIIIIIIII
  E13     = XIIXIIIIIIIIII
  E14     = YIIXIIIIIIIIII
  E15     = ZIIXIIIIIIIIII
  E16     = XIIIXIIIIIIIII
  E17     = YIIIXIIIIIIIII
  E18     = ZIIIXIIIIIIIII
  E19     = XIIIIXIIIIIIII
  E20     = YIIIIXIIIIIIII
  E21     = ZIIIIXIIIIIIII
  E22     = XIIIIIXIIIIIII
  E23     = YIIIIIXIIIIIII
  E24     = ZIIIIIXIIIIIII
  E25     = XIIIIIIXIIIIII
  E26     = YIIIIIIXIIIIII
  E27     = ZIIIIIIXIIIIII
  E28     = XIIIIIIIXIIIII
  E29     = YIIIIIIIXIIIII
  E30     = ZIIIIIIIXIIIII
  E31     = XIIIIIIIIXIIII
  E32     = YIIIIIIIIXIIII
  E33     = ZIIIIIIIIXIIII
  E34     = IXXIIIIIIIIIII
  E35     = IYXIIIIIIIIIII
  E36     = IZXIIIIIIIIIII
  E37     = IXIXIIIIIIIIII
  E38     = IYIXIIIIIIIIII
  E39     = IZIXIIIIIIIIII
  E40     = IXIIXIIIIIIIII
  E41     = IYIIXIIIIIIIII
  E42     = IZIIXIIIIIIIII
  E43     = IXIIIXIIIIIIII
  E44     = IYIIIXIIIIIIII
  E45     = IZIIIXIIIIIIII
  E46     = IXIIIIXIIIIIII
  E47     = IYIIIIXIIIIIII
  E48     = IZIIIIXIIIIIII
  E49     = IXIIIIIXIIIIII
  E50     = IYIIIIIXIIIIII
  E51     = IZIIIIIXIIIIII
  E52     = IXIIIIIIXIIIII
  E53     = IYIIIIIIXIIIII
  E54     = IZIIIIIIXIIIII
  E55     = IXIIIIIIIXIIII
  E56     = IYIIIIIIIXIIII
  E57     = IZIIIIIIIXIIII
  E58     = IIXXIIIIIIIIII
  E59     = IIXIXIIIIIIIII
  E60     = IIXIIXIIIIIIII
  E61     = IIXIIIXIIIIIII
  E62     = IIXIIIIXIIIIII
  E63     = IIXIIIIIXIIIII
  E64     = IIXIIIIIIXIIII
  E65     = IIYIIIIIIIZIII
  E66     = IIZIIIIIIIZIII
  E67     = IIYIIIIIIIIZII
  E68     = IIZIIIIIIIIZII
  E69     = IIIXXIIIIIIIII
  E70     = IIIXIXIIIIIIII
  E71     = IIIXIIXIIIIIII
  E72     = IIIXIIIXIIIIII
  E73     = IIIXIIIIXIIIII
  E74     = IIIXIIIIIXIIII
  E75     = IIIYIIIIIIXIII
  E76     = IIIZIIIIIIXIII
  E77     = IIIYIIIIIIIIZI
  E78     = IIIZIIIIIIIIZI
  E79     = IIIIXXIIIIIIII
  E80     = IIIIXIXIIIIIII
  E81     = IIIIXIIXIIIIII
  E82     = IIIIXIIIXIIIII
  E83     = IIIIXIIIIXIIII
  E84     = IIIIYIIIIIIXII
  E85     = IIIIZIIIIIIXII
  E86     = IIIIYIIIIIIIXI
  E87     = IIIIZIIIIIIIXI
  E88     = IIIIIXXIIIIIII
  E89     = IIIIIXIXIIIIII
  E90     = IIIIIXIIXIIIII
  E91     = IIIIIXIIIXIIII
  E92     = IIIIIYIIIIYIII
  E93     = IIIIIZIIIIYIII
  E94     = IIIIIYIIIIIIIZ
  E95     = IIIIIZIIIIIIIZ
  E96     = IIIIIIXXIIIIII
  E97     = IIIIIIXIXIIIII
  E98     = IIIIIIXIIXIIII
  E99     = IIIIIIYIIIIYII
  E100    = IIIIIIZIIIIYII
  E101    = IIIIIIYIIIIIIX
  E102    = IIIIIIZIIIIIIX
  E103    = IIIIIIIXXIIIII
  E104    = IIIIIIIXIXIIII
  E105    = IIIIIIIYIIIIYI
  E106    = IIIIIIIZIIIIYI
  E107    = IIIIIIIYIIIIIY
  E108    = IIIIIIIZIIIIIY
  E109    = IIIIIIIIXXIIII
  E110    = IIIIIIIIYYIIII
  E111    = IIIIIIIIZYIIII
  E112    = IIIIIIIIYZIIII
  E113    = IIIIIIIIZZIIII
  E114    = IIIIIIIIIIZZII
  E115    = IIIIIIIIIIXIZI
  E116    = IIIIIIIIIIYIIZ
  E117    = IIIIIIIIIIIXXI
  E118    = IIIIIIIIIIIYIX
  E119    = IIIIIIIIIIIIYY

Weight 3:
  E1      = XXXIIIIIIIIIII
  E2      = YXXIIIIIIIIIII
  E3      = ZXXIIIIIIIIIII
  E4      = XYXIIIIIIIIIII
  E5      = YYXIIIIIIIIIII
  E6      = ZYXIIIIIIIIIII
  E7      = XZXIIIIIIIIIII
  E8      = YZXIIIIIIIIIII
  E9      = ZZXIIIIIIIIIII
  E10     = XXIXIIIIIIIIII
  E11     = YXIXIIIIIIIIII
  E12     = ZXIXIIIIIIIIII
  E13     = XYIXIIIIIIIIII
  E14     = YYIXIIIIIIIIII
  E15     = ZYIXIIIIIIIIII
  E16     = XZIXIIIIIIIIII
  E17     = YZIXIIIIIIIIII
  E18     = ZZIXIIIIIIIIII
  E19     = XXIIXIIIIIIIII
  E20     = YXIIXIIIIIIIII
  E21     = ZXIIXIIIIIIIII
