q,n,k,reason,detail
2,147,57,no parity-check matrix,construction listed as 'Missing Construction'
2,147,58,no parity-check matrix,construction listed as 'Missing Construction'
2,147,59,no parity-check matrix,construction listed as 'Missing Construction'
2,147,60,no parity-check matrix,construction listed as 'Missing Construction'
2,147,61,no parity-check matrix,construction listed as 'Missing Construction'
2,147,147,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,148,3,no parity-check matrix,construction listed as 'Missing Construction'
2,148,4,no parity-check matrix,construction listed as 'Missing Construction'
2,148,5,no parity-check matrix,construction listed as 'Missing Construction'
2,148,6,no parity-check matrix,construction listed as 'Missing Construction'
2,148,7,no parity-check matrix,construction listed as 'Missing Construction'
2,148,8,no parity-check matrix,construction listed as 'Missing Construction'
2,148,9,no parity-check matrix,construction listed as 'Missing Construction'
2,148,10,no parity-check matrix,construction listed as 'Missing Construction'
2,148,11,no parity-check matrix,construction listed as 'Missing Construction'
2,148,12,no parity-check matrix,construction listed as 'Missing Construction'
2,148,13,no parity-check matrix,construction listed as 'Missing Construction'
2,148,14,no parity-check matrix,construction listed as 'Missing Construction'
2,148,15,no parity-check matrix,construction listed as 'Missing Construction'
2,148,16,no parity-check matrix,construction listed as 'Missing Construction'
2,148,17,no parity-check matrix,construction listed as 'Missing Construction'
2,148,18,no parity-check matrix,construction listed as 'Missing Construction'
2,148,19,no parity-check matrix,construction listed as 'Missing Construction'
2,148,20,no parity-check matrix,construction listed as 'Missing Construction'
2,148,21,no parity-check matrix,construction listed as 'Missing Construction'
2,148,22,no parity-check matrix,construction listed as 'Missing Construction'
2,148,23,no parity-check matrix,construction listed as 'Missing Construction'
2,148,24,no parity-check matrix,construction listed as 'Missing Construction'
2,148,25,no parity-check matrix,construction listed as 'Missing Construction'
2,148,26,no parity-check matrix,construction listed as 'Missing Construction'
2,148,27,no parity-check matrix,construction listed as 'Missing Construction'
2,148,28,no parity-check matrix,construction listed as 'Missing Construction'
2,148,29,no parity-check matrix,construction listed as 'Missing Construction'
2,148,30,no parity-check matrix,construction listed as 'Missing Construction'
2,148,31,no parity-check matrix,construction listed as 'Missing Construction'
2,148,32,no parity-check matrix,construction listed as 'Missing Construction'
2,148,33,no parity-check matrix,construction listed as 'Missing Construction'
2,148,34,no parity-check matrix,construction listed as 'Missing Construction'
2,148,35,no parity-check matrix,construction listed as 'Missing Construction'
2,148,36,no parity-check matrix,construction listed as 'Missing Construction'
2,148,37,no parity-check matrix,construction listed as 'Missing Construction'
2,148,38,no parity-check matrix,construction listed as 'Missing Construction'
2,148,39,no parity-check matrix,construction listed as 'Missing Construction'
2,148,40,no parity-check matrix,construction listed as 'Missing Construction'
2,148,41,no parity-check matrix,construction listed as 'Missing Construction'
2,148,42,no parity-check matrix,construction listed as 'Missing Construction'
2,148,43,no parity-check matrix,construction listed as 'Missing Construction'
2,148,44,no parity-check matrix,construction listed as 'Missing Construction'
2,148,45,no parity-check matrix,construction listed as 'Missing Construction'
2,148,46,no parity-check matrix,construction listed as 'Missing Construction'
2,148,47,no parity-check matrix,construction listed as 'Missing Construction'
2,148,48,no parity-check matrix,construction listed as 'Missing Construction'
2,148,49,no parity-check matrix,construction listed as 'Missing Construction'
2,148,50,no parity-check matrix,construction listed as 'Missing Construction'
2,148,51,no parity-check matrix,construction listed as 'Missing Construction'
2,148,52,no parity-check matrix,construction listed as 'Missing Construction'
2,148,53,no parity-check matrix,construction listed as 'Missing Construction'
2,148,54,no parity-check matrix,construction listed as 'Missing Construction'
2,148,55,no parity-check matrix,construction listed as 'Missing Construction'
2,148,56,no parity-check matrix,construction listed as 'Missing Construction'
2,148,57,no parity-check matrix,construction listed as 'Missing Construction'
2,148,58,no parity-check matrix,construction listed as 'Missing Construction'
2,148,59,no parity-check matrix,construction listed as 'Missing Construction'
2,148,60,no parity-check matrix,construction listed as 'Missing Construction'
2,148,61,no parity-check matrix,construction listed as 'Missing Construction'
2,148,62,no parity-check matrix,construction listed as 'Missing Construction'
2,148,148,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,149,3,no parity-check matrix,construction listed as 'Missing Construction'
2,149,4,no parity-check matrix,construction listed as 'Missing Construction'
2,149,5,no parity-check matrix,construction listed as 'Missing Construction'
2,149,6,no parity-check matrix,construction listed as 'Missing Construction'
2,149,7,no parity-check matrix,construction listed as 'Missing Construction'
2,149,8,no parity-check matrix,construction listed as 'Missing Construction'
2,149,9,no parity-check matrix,construction listed as 'Missing Construction'
2,149,10,no parity-check matrix,construction listed as 'Missing Construction'
2,149,11,no parity-check matrix,construction listed as 'Missing Construction'
2,149,12,no parity-check matrix,construction listed as 'Missing Construction'
2,149,13,no parity-check matrix,construction listed as 'Missing Construction'
2,149,14,no parity-check matrix,construction listed as 'Missing Construction'
2,149,15,no parity-check matrix,construction listed as 'Missing Construction'
2,149,16,no parity-check matrix,construction listed as 'Missing Construction'
2,149,17,no parity-check matrix,construction listed as 'Missing Construction'
2,149,18,no parity-check matrix,construction listed as 'Missing Construction'
2,149,19,no parity-check matrix,construction listed as 'Missing Construction'
2,149,20,no parity-check matrix,construction listed as 'Missing Construction'
2,149,21,no parity-check matrix,construction listed as 'Missing Construction'
2,149,22,no parity-check matrix,construction listed as 'Missing Construction'
2,149,23,no parity-check matrix,construction listed as 'Missing Construction'
2,149,24,no parity-check matrix,construction listed as 'Missing Construction'
2,149,25,no parity-check matrix,construction listed as 'Missing Construction'
2,149,26,no parity-check matrix,construction listed as 'Missing Construction'
2,149,27,no parity-check matrix,construction listed as 'Missing Construction'
2,149,28,no parity-check matrix,construction listed as 'Missing Construction'
2,149,29,no parity-check matrix,construction listed as 'Missing Construction'
2,149,30,no parity-check matrix,construction listed as 'Missing Construction'
2,149,31,no parity-check matrix,construction listed as 'Missing Construction'
2,149,32,no parity-check matrix,construction listed as 'Missing Construction'
2,149,33,no parity-check matrix,construction listed as 'Missing Construction'
2,149,34,no parity-check matrix,construction listed as 'Missing Construction'
2,149,35,no parity-check matrix,construction listed as 'Missing Construction'
2,149,36,no parity-check matrix,construction listed as 'Missing Construction'
2,149,37,no parity-check matrix,construction listed as 'Missing Construction'
2,149,38,no parity-check matrix,construction listed as 'Missing Construction'
2,149,39,no parity-check matrix,construction listed as 'Missing Construction'
2,149,40,no parity-check matrix,construction listed as 'Missing Construction'
2,149,41,no parity-check matrix,construction listed as 'Missing Construction'
2,149,42,no parity-check matrix,construction listed as 'Missing Construction'
2,149,43,no parity-check matrix,construction listed as 'Missing Construction'
2,149,44,no parity-check matrix,construction listed as 'Missing Construction'
2,149,45,no parity-check matrix,construction listed as 'Missing Construction'
2,149,46,no parity-check matrix,construction listed as 'Missing Construction'
2,149,47,no parity-check matrix,construction listed as 'Missing Construction'
2,149,48,no parity-check matrix,construction listed as 'Missing Construction'
2,149,49,no parity-check matrix,construction listed as 'Missing Construction'
2,149,50,no parity-check matrix,construction listed as 'Missing Construction'
2,149,51,no parity-check matrix,construction listed as 'Missing Construction'
2,149,52,no parity-check matrix,construction listed as 'Missing Construction'
2,149,53,no parity-check matrix,construction listed as 'Missing Construction'
2,149,54,no parity-check matrix,construction listed as 'Missing Construction'
2,149,55,no parity-check matrix,construction listed as 'Missing Construction'
2,149,56,no parity-check matrix,construction listed as 'Missing Construction'
2,149,57,no parity-check matrix,construction listed as 'Missing Construction'
2,149,58,no parity-check matrix,construction listed as 'Missing Construction'
2,149,59,no parity-check matrix,construction listed as 'Missing Construction'
2,149,60,no parity-check matrix,construction listed as 'Missing Construction'
2,149,61,no parity-check matrix,construction listed as 'Missing Construction'
2,149,62,no parity-check matrix,construction listed as 'Missing Construction'
2,149,149,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,150,3,no parity-check matrix,construction listed as 'Missing Construction'
2,150,4,no parity-check matrix,construction listed as 'Missing Construction'
2,150,5,no parity-check matrix,construction listed as 'Missing Construction'
2,150,6,no parity-check matrix,construction listed as 'Missing Construction'
2,150,7,no parity-check matrix,construction listed as 'Missing Construction'
2,150,8,no parity-check matrix,construction listed as 'Missing Construction'
2,150,9,no parity-check matrix,construction listed as 'Missing Construction'
2,150,10,no parity-check matrix,construction listed as 'Missing Construction'
2,150,11,no parity-check matrix,construction listed as 'Missing Construction'
2,150,12,no parity-check matrix,construction listed as 'Missing Construction'
2,150,13,no parity-check matrix,construction listed as 'Missing Construction'
2,150,14,no parity-check matrix,construction listed as 'Missing Construction'
2,150,15,no parity-check matrix,construction listed as 'Missing Construction'
2,150,16,no parity-check matrix,construction listed as 'Missing Construction'
2,150,17,no parity-check matrix,construction listed as 'Missing Construction'
2,150,18,no parity-check matrix,construction listed as 'Missing Construction'
2,150,19,no parity-check matrix,construction listed as 'Missing Construction'
2,150,20,no parity-check matrix,construction listed as 'Missing Construction'
2,150,21,no parity-check matrix,construction listed as 'Missing Construction'
2,150,22,no parity-check matrix,construction listed as 'Missing Construction'
2,150,23,no parity-check matrix,construction listed as 'Missing Construction'
2,150,24,no parity-check matrix,construction listed as 'Missing Construction'
2,150,25,no parity-check matrix,construction listed as 'Missing Construction'
2,150,26,no parity-check matrix,construction listed as 'Missing Construction'
2,150,27,no parity-check matrix,construction listed as 'Missing Construction'
2,150,28,no parity-check matrix,construction listed as 'Missing Construction'
2,150,29,no parity-check matrix,construction listed as 'Missing Construction'
2,150,30,no parity-check matrix,construction listed as 'Missing Construction'
2,150,31,no parity-check matrix,construction listed as 'Missing Construction'
2,150,32,no parity-check matrix,construction listed as 'Missing Construction'
2,150,33,no parity-check matrix,construction listed as 'Missing Construction'
2,150,34,no parity-check matrix,construction listed as 'Missing Construction'
2,150,35,no parity-check matrix,construction listed as 'Missing Construction'
2,150,36,no parity-check matrix,construction listed as 'Missing Construction'
2,150,37,no parity-check matrix,construction listed as 'Missing Construction'
2,150,38,no parity-check matrix,construction listed as 'Missing Construction'
2,150,39,no parity-check matrix,construction listed as 'Missing Construction'
2,150,40,no parity-check matrix,construction listed as 'Missing Construction'
2,150,41,no parity-check matrix,construction listed as 'Missing Construction'
2,150,42,no parity-check matrix,construction listed as 'Missing Construction'
2,150,43,no parity-check matrix,construction listed as 'Missing Construction'
2,150,44,no parity-check matrix,construction listed as 'Missing Construction'
2,150,45,no parity-check matrix,construction listed as 'Missing Construction'
2,150,46,no parity-check matrix,construction listed as 'Missing Construction'
2,150,47,no parity-check matrix,construction listed as 'Missing Construction'
2,150,48,no parity-check matrix,construction listed as 'Missing Construction'
2,150,49,no parity-check matrix,construction listed as 'Missing Construction'
2,150,50,no parity-check matrix,construction listed as 'Missing Construction'
2,150,51,no parity-check matrix,construction listed as 'Missing Construction'
2,150,52,no parity-check matrix,construction listed as 'Missing Construction'
2,150,53,no parity-check matrix,construction listed as 'Missing Construction'
2,150,54,no parity-check matrix,construction listed as 'Missing Construction'
2,150,55,no parity-check matrix,construction listed as 'Missing Construction'
2,150,56,no parity-check matrix,construction listed as 'Missing Construction'
2,150,57,no parity-check matrix,construction listed as 'Missing Construction'
2,150,58,no parity-check matrix,construction listed as 'Missing Construction'
2,150,59,no parity-check matrix,construction listed as 'Missing Construction'
2,150,60,no parity-check matrix,construction listed as 'Missing Construction'
2,150,61,no parity-check matrix,construction listed as 'Missing Construction'
2,150,62,no parity-check matrix,construction listed as 'Missing Construction'
2,150,63,no parity-check matrix,construction listed as 'Missing Construction'
2,150,73,no parity-check matrix,construction listed as 'Missing Construction'
2,150,150,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,151,3,no parity-check matrix,construction listed as 'Missing Construction'
2,151,4,no parity-check matrix,construction listed as 'Missing Construction'
2,151,5,no parity-check matrix,construction listed as 'Missing Construction'
2,151,6,no parity-check matrix,construction listed as 'Missing Construction'
2,151,7,no parity-check matrix,construction listed as 'Missing Construction'
2,151,8,no parity-check matrix,construction listed as 'Missing Construction'
2,151,9,no parity-check matrix,construction listed as 'Missing Construction'
2,151,10,no parity-check matrix,construction listed as 'Missing Construction'
2,151,11,no parity-check matrix,construction listed as 'Missing Construction'
2,151,12,no parity-check matrix,construction listed as 'Missing Construction'
2,151,13,no parity-check matrix,construction listed as 'Missing Construction'
2,151,14,no parity-check matrix,construction listed as 'Missing Construction'
2,151,15,no parity-check matrix,construction listed as 'Missing Construction'
2,151,16,no parity-check matrix,construction listed as 'Missing Construction'
2,151,17,no parity-check matrix,construction listed as 'Missing Construction'
2,151,18,no parity-check matrix,construction listed as 'Missing Construction'
2,151,19,no parity-check matrix,construction listed as 'Missing Construction'
2,151,20,no parity-check matrix,construction listed as 'Missing Construction'
2,151,21,no parity-check matrix,construction listed as 'Missing Construction'
2,151,22,no parity-check matrix,construction listed as 'Missing Construction'
2,151,23,no parity-check matrix,construction listed as 'Missing Construction'
2,151,24,no parity-check matrix,construction listed as 'Missing Construction'
2,151,25,no parity-check matrix,construction listed as 'Missing Construction'
2,151,26,no parity-check matrix,construction listed as 'Missing Construction'
2,151,27,no parity-check matrix,construction listed as 'Missing Construction'
2,151,28,no parity-check matrix,construction listed as 'Missing Construction'
2,151,29,no parity-check matrix,construction listed as 'Missing Construction'
2,151,30,no parity-check matrix,construction listed as 'Missing Construction'
2,151,31,no parity-check matrix,construction listed as 'Missing Construction'
2,151,32,no parity-check matrix,construction listed as 'Missing Construction'
2,151,33,no parity-check matrix,construction listed as 'Missing Construction'
2,151,34,no parity-check matrix,construction listed as 'Missing Construction'
2,151,35,no parity-check matrix,construction listed as 'Missing Construction'
2,151,36,no parity-check matrix,construction listed as 'Missing Construction'
2,151,37,no parity-check matrix,construction listed as 'Missing Construction'
2,151,38,no parity-check matrix,construction listed as 'Missing Construction'
2,151,39,no parity-check matrix,construction listed as 'Missing Construction'
2,151,40,no parity-check matrix,construction listed as 'Missing Construction'
2,151,41,no parity-check matrix,construction listed as 'Missing Construction'
2,151,42,no parity-check matrix,construction listed as 'Missing Construction'
2,151,43,no parity-check matrix,construction listed as 'Missing Construction'
2,151,44,no parity-check matrix,construction listed as 'Missing Construction'
2,151,45,no parity-check matrix,construction listed as 'Missing Construction'
2,151,46,no parity-check matrix,construction listed as 'Missing Construction'
2,151,47,no parity-check matrix,construction listed as 'Missing Construction'
2,151,48,no parity-check matrix,construction listed as 'Missing Construction'
2,151,49,no parity-check matrix,construction listed as 'Missing Construction'
2,151,50,no parity-check matrix,construction listed as 'Missing Construction'
2,151,51,no parity-check matrix,construction listed as 'Missing Construction'
2,151,52,no parity-check matrix,construction listed as 'Missing Construction'
2,151,53,no parity-check matrix,construction listed as 'Missing Construction'
2,151,54,no parity-check matrix,construction listed as 'Missing Construction'
2,151,55,no parity-check matrix,construction listed as 'Missing Construction'
2,151,56,no parity-check matrix,construction listed as 'Missing Construction'
2,151,57,no parity-check matrix,construction listed as 'Missing Construction'
2,151,58,no parity-check matrix,construction listed as 'Missing Construction'
2,151,59,no parity-check matrix,construction listed as 'Missing Construction'
2,151,60,no parity-check matrix,construction listed as 'Missing Construction'
2,151,61,no parity-check matrix,construction listed as 'Missing Construction'
2,151,62,no parity-check matrix,construction listed as 'Missing Construction'
2,151,63,no parity-check matrix,construction listed as 'Missing Construction'
2,151,64,no parity-check matrix,construction listed as 'Missing Construction'
2,151,73,no parity-check matrix,construction listed as 'Missing Construction'
2,151,74,no parity-check matrix,construction listed as 'Missing Construction'
2,151,151,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,152,3,no parity-check matrix,construction listed as 'Missing Construction'
2,152,4,no parity-check matrix,construction listed as 'Missing Construction'
2,152,5,no parity-check matrix,construction listed as 'Missing Construction'
2,152,6,no parity-check matrix,construction listed as 'Missing Construction'
2,152,7,no parity-check matrix,construction listed as 'Missing Construction'
2,152,8,no parity-check matrix,construction listed as 'Missing Construction'
2,152,9,no parity-check matrix,construction listed as 'Missing Construction'
2,152,10,no parity-check matrix,construction listed as 'Missing Construction'
2,152,11,no parity-check matrix,construction listed as 'Missing Construction'
2,152,12,no parity-check matrix,construction listed as 'Missing Construction'
2,152,13,no parity-check matrix,construction listed as 'Missing Construction'
2,152,14,no parity-check matrix,construction listed as 'Missing Construction'
2,152,15,no parity-check matrix,construction listed as 'Missing Construction'
2,152,16,no parity-check matrix,construction listed as 'Missing Construction'
2,152,17,no parity-check matrix,construction listed as 'Missing Construction'
2,152,18,no parity-check matrix,construction listed as 'Missing Construction'
2,152,19,no parity-check matrix,construction listed as 'Missing Construction'
2,152,20,no parity-check matrix,construction listed as 'Missing Construction'
2,152,21,no parity-check matrix,construction listed as 'Missing Construction'
2,152,22,no parity-check matrix,construction listed as 'Missing Construction'
2,152,23,no parity-check matrix,construction listed as 'Missing Construction'
2,152,24,no parity-check matrix,construction listed as 'Missing Construction'
2,152,25,no parity-check matrix,construction listed as 'Missing Construction'
2,152,26,no parity-check matrix,construction listed as 'Missing Construction'
2,152,27,no parity-check matrix,construction listed as 'Missing Construction'
2,152,28,no parity-check matrix,construction listed as 'Missing Construction'
2,152,29,no parity-check matrix,construction listed as 'Missing Construction'
2,152,30,no parity-check matrix,construction listed as 'Missing Construction'
2,152,31,no parity-check matrix,construction listed as 'Missing Construction'
2,152,32,no parity-check matrix,construction listed as 'Missing Construction'
2,152,33,no parity-check matrix,construction listed as 'Missing Construction'
2,152,34,no parity-check matrix,construction listed as 'Missing Construction'
2,152,35,no parity-check matrix,construction listed as 'Missing Construction'
2,152,36,no parity-check matrix,construction listed as 'Missing Construction'
2,152,37,no parity-check matrix,construction listed as 'Missing Construction'
2,152,38,no parity-check matrix,construction listed as 'Missing Construction'
2,152,39,no parity-check matrix,construction listed as 'Missing Construction'
2,152,40,no parity-check matrix,construction listed as 'Missing Construction'
2,152,41,no parity-check matrix,construction listed as 'Missing Construction'
2,152,42,no parity-check matrix,construction listed as 'Missing Construction'
2,152,43,no parity-check matrix,construction listed as 'Missing Construction'
2,152,44,no parity-check matrix,construction listed as 'Missing Construction'
2,152,45,no parity-check matrix,construction listed as 'Missing Construction'
2,152,46,no parity-check matrix,construction listed as 'Missing Construction'
2,152,47,no parity-check matrix,construction listed as 'Missing Construction'
2,152,48,no parity-check matrix,construction listed as 'Missing Construction'
2,152,49,no parity-check matrix,construction listed as 'Missing Construction'
2,152,50,no parity-check matrix,construction listed as 'Missing Construction'
2,152,51,no parity-check matrix,construction listed as 'Missing Construction'
2,152,52,no parity-check matrix,construction listed as 'Missing Construction'
2,152,53,no parity-check matrix,construction listed as 'Missing Construction'
2,152,54,no parity-check matrix,construction listed as 'Missing Construction'
2,152,55,no parity-check matrix,construction listed as 'Missing Construction'
2,152,56,no parity-check matrix,construction listed as 'Missing Construction'
2,152,57,no parity-check matrix,construction listed as 'Missing Construction'
2,152,58,no parity-check matrix,construction listed as 'Missing Construction'
2,152,59,no parity-check matrix,construction listed as 'Missing Construction'
2,152,60,no parity-check matrix,construction listed as 'Missing Construction'
2,152,61,no parity-check matrix,construction listed as 'Missing Construction'
2,152,62,no parity-check matrix,construction listed as 'Missing Construction'
2,152,63,no parity-check matrix,construction listed as 'Missing Construction'
2,152,64,no parity-check matrix,construction listed as 'Missing Construction'
2,152,65,no parity-check matrix,construction listed as 'Missing Construction'
2,152,73,no parity-check matrix,construction listed as 'Missing Construction'
2,152,74,no parity-check matrix,construction listed as 'Missing Construction'
2,152,75,no parity-check matrix,construction listed as 'Missing Construction'
2,152,152,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,153,3,no parity-check matrix,construction listed as 'Missing Construction'
2,153,4,no parity-check matrix,construction listed as 'Missing Construction'
2,153,5,no parity-check matrix,construction listed as 'Missing Construction'
2,153,6,no parity-check matrix,construction listed as 'Missing Construction'
2,153,7,no parity-check matrix,construction listed as 'Missing Construction'
2,153,8,no parity-check matrix,construction listed as 'Missing Construction'
2,153,9,no parity-check matrix,construction listed as 'Missing Construction'
2,153,10,no parity-check matrix,construction listed as 'Missing Construction'
2,153,11,no parity-check matrix,construction listed as 'Missing Construction'
2,153,12,no parity-check matrix,construction listed as 'Missing Construction'
2,153,13,no parity-check matrix,construction listed as 'Missing Construction'
2,153,14,no parity-check matrix,construction listed as 'Missing Construction'
2,153,15,no parity-check matrix,construction listed as 'Missing Construction'
2,153,16,no parity-check matrix,construction listed as 'Missing Construction'
2,153,17,no parity-check matrix,construction listed as 'Missing Construction'
2,153,18,no parity-check matrix,construction listed as 'Missing Construction'
2,153,19,no parity-check matrix,construction listed as 'Missing Construction'
2,153,20,no parity-check matrix,construction listed as 'Missing Construction'
2,153,21,no parity-check matrix,construction listed as 'Missing Construction'
2,153,22,no parity-check matrix,construction listed as 'Missing Construction'
2,153,23,no parity-check matrix,construction listed as 'Missing Construction'
2,153,24,no parity-check matrix,construction listed as 'Missing Construction'
2,153,25,no parity-check matrix,construction listed as 'Missing Construction'
2,153,26,no parity-check matrix,construction listed as 'Missing Construction'
2,153,27,no parity-check matrix,construction listed as 'Missing Construction'
2,153,28,no parity-check matrix,construction listed as 'Missing Construction'
2,153,29,no parity-check matrix,construction listed as 'Missing Construction'
2,153,30,no parity-check matrix,construction listed as 'Missing Construction'
2,153,31,no parity-check matrix,construction listed as 'Missing Construction'
2,153,32,no parity-check matrix,construction listed as 'Missing Construction'
2,153,33,no parity-check matrix,construction listed as 'Missing Construction'
2,153,34,no parity-check matrix,construction listed as 'Missing Construction'
2,153,35,no parity-check matrix,construction listed as 'Missing Construction'
2,153,36,no parity-check matrix,construction listed as 'Missing Construction'
2,153,37,no parity-check matrix,construction listed as 'Missing Construction'
2,153,38,no parity-check matrix,construction listed as 'Missing Construction'
2,153,39,no parity-check matrix,construction listed as 'Missing Construction'
2,153,40,no parity-check matrix,construction listed as 'Missing Construction'
2,153,41,no parity-check matrix,construction listed as 'Missing Construction'
2,153,42,no parity-check matrix,construction listed as 'Missing Construction'
2,153,43,no parity-check matrix,construction listed as 'Missing Construction'
2,153,44,no parity-check matrix,construction listed as 'Missing Construction'
2,153,45,no parity-check matrix,construction listed as 'Missing Construction'
2,153,46,no parity-check matrix,construction listed as 'Missing Construction'
2,153,47,no parity-check matrix,construction listed as 'Missing Construction'
2,153,48,no parity-check matrix,construction listed as 'Missing Construction'
2,153,49,no parity-check matrix,construction listed as 'Missing Construction'
2,153,50,no parity-check matrix,construction listed as 'Missing Construction'
2,153,51,no parity-check matrix,construction listed as 'Missing Construction'
2,153,52,no parity-check matrix,construction listed as 'Missing Construction'
2,153,53,no parity-check matrix,construction listed as 'Missing Construction'
2,153,54,no parity-check matrix,construction listed as 'Missing Construction'
2,153,55,no parity-check matrix,construction listed as 'Missing Construction'
2,153,56,no parity-check matrix,construction listed as 'Missing Construction'
2,153,57,no parity-check matrix,construction listed as 'Missing Construction'
2,153,58,no parity-check matrix,construction listed as 'Missing Construction'
2,153,59,no parity-check matrix,construction listed as 'Missing Construction'
2,153,60,no parity-check matrix,construction listed as 'Missing Construction'
2,153,61,no parity-check matrix,construction listed as 'Missing Construction'
2,153,62,no parity-check matrix,construction listed as 'Missing Construction'
2,153,63,no parity-check matrix,construction listed as 'Missing Construction'
2,153,64,no parity-check matrix,construction listed as 'Missing Construction'
2,153,65,no parity-check matrix,construction listed as 'Missing Construction'
2,153,66,no parity-check matrix,construction listed as 'Missing Construction'
2,153,71,no parity-check matrix,construction listed as 'Missing Construction'
2,153,73,no parity-check matrix,construction listed as 'Missing Construction'
2,153,74,no parity-check matrix,construction listed as 'Missing Construction'
2,153,75,no parity-check matrix,construction listed as 'Missing Construction'
2,153,76,no parity-check matrix,construction listed as 'Missing Construction'
2,153,153,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,154,3,no parity-check matrix,construction listed as 'Missing Construction'
2,154,4,no parity-check matrix,construction listed as 'Missing Construction'
2,154,5,no parity-check matrix,construction listed as 'Missing Construction'
2,154,6,no parity-check matrix,construction listed as 'Missing Construction'
2,154,7,no parity-check matrix,construction listed as 'Missing Construction'
2,154,8,no parity-check matrix,construction listed as 'Missing Construction'
2,154,9,no parity-check matrix,construction listed as 'Missing Construction'
2,154,10,no parity-check matrix,construction listed as 'Missing Construction'
2,154,11,no parity-check matrix,construction listed as 'Missing Construction'
2,154,12,no parity-check matrix,construction listed as 'Missing Construction'
2,154,13,no parity-check matrix,construction listed as 'Missing Construction'
2,154,14,no parity-check matrix,construction listed as 'Missing Construction'
2,154,15,no parity-check matrix,construction listed as 'Missing Construction'
2,154,16,no parity-check matrix,construction listed as 'Missing Construction'
2,154,17,no parity-check matrix,construction listed as 'Missing Construction'
2,154,18,no parity-check matrix,construction listed as 'Missing Construction'
2,154,19,no parity-check matrix,construction listed as 'Missing Construction'
2,154,20,no parity-check matrix,construction listed as 'Missing Construction'
2,154,21,no parity-check matrix,construction listed as 'Missing Construction'
2,154,22,no parity-check matrix,construction listed as 'Missing Construction'
2,154,23,no parity-check matrix,construction listed as 'Missing Construction'
2,154,24,no parity-check matrix,construction listed as 'Missing Construction'
2,154,25,no parity-check matrix,construction listed as 'Missing Construction'
2,154,26,no parity-check matrix,construction listed as 'Missing Construction'
2,154,27,no parity-check matrix,construction listed as 'Missing Construction'
2,154,28,no parity-check matrix,construction listed as 'Missing Construction'
2,154,29,no parity-check matrix,construction listed as 'Missing Construction'
2,154,30,no parity-check matrix,construction listed as 'Missing Construction'
2,154,31,no parity-check matrix,construction listed as 'Missing Construction'
2,154,32,no parity-check matrix,construction listed as 'Missing Construction'
2,154,33,no parity-check matrix,construction listed as 'Missing Construction'
2,154,34,no parity-check matrix,construction listed as 'Missing Construction'
2,154,35,no parity-check matrix,construction listed as 'Missing Construction'
2,154,36,no parity-check matrix,construction listed as 'Missing Construction'
2,154,37,no parity-check matrix,construction listed as 'Missing Construction'
2,154,38,no parity-check matrix,construction listed as 'Missing Construction'
2,154,39,no parity-check matrix,construction listed as 'Missing Construction'
2,154,40,no parity-check matrix,construction listed as 'Missing Construction'
2,154,41,no parity-check matrix,construction listed as 'Missing Construction'
2,154,42,no parity-check matrix,construction listed as 'Missing Construction'
2,154,43,no parity-check matrix,construction listed as 'Missing Construction'
2,154,44,no parity-check matrix,construction listed as 'Missing Construction'
2,154,45,no parity-check matrix,construction listed as 'Missing Construction'
2,154,46,no parity-check matrix,construction listed as 'Missing Construction'
2,154,47,no parity-check matrix,construction listed as 'Missing Construction'
2,154,48,no parity-check matrix,construction listed as 'Missing Construction'
2,154,49,no parity-check matrix,construction listed as 'Missing Construction'
2,154,50,no parity-check matrix,construction listed as 'Missing Construction'
2,154,51,no parity-check matrix,construction listed as 'Missing Construction'
2,154,52,no parity-check matrix,construction listed as 'Missing Construction'
2,154,53,no parity-check matrix,construction listed as 'Missing Construction'
2,154,54,no parity-check matrix,construction listed as 'Missing Construction'
2,154,55,no parity-check matrix,construction listed as 'Missing Construction'
2,154,56,no parity-check matrix,construction listed as 'Missing Construction'
2,154,57,no parity-check matrix,construction listed as 'Missing Construction'
2,154,58,no parity-check matrix,construction listed as 'Missing Construction'
2,154,59,no parity-check matrix,construction listed as 'Missing Construction'
2,154,60,no parity-check matrix,construction listed as 'Missing Construction'
2,154,61,no parity-check matrix,construction listed as 'Missing Construction'
2,154,62,no parity-check matrix,construction listed as 'Missing Construction'
2,154,63,no parity-check matrix,construction listed as 'Missing Construction'
2,154,64,no parity-check matrix,construction listed as 'Missing Construction'
2,154,65,no parity-check matrix,construction listed as 'Missing Construction'
2,154,66,no parity-check matrix,construction listed as 'Missing Construction'
2,154,67,no parity-check matrix,construction listed as 'Missing Construction'
2,154,71,no parity-check matrix,construction listed as 'Missing Construction'
2,154,72,no parity-check matrix,construction listed as 'Missing Construction'
2,154,73,no parity-check matrix,construction listed as 'Missing Construction'
2,154,74,no parity-check matrix,construction listed as 'Missing Construction'
2,154,75,no parity-check matrix,construction listed as 'Missing Construction'
2,154,76,no parity-check matrix,construction listed as 'Missing Construction'
2,154,77,no parity-check matrix,construction listed as 'Missing Construction'
