q,n,k,reason,detail
2,92,92,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,93,93,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,94,94,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,95,95,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,96,96,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,97,97,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,98,98,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,99,99,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,100,14,no parity-check matrix,construction listed as 'Missing Construction'
2,100,100,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,101,14,no parity-check matrix,construction listed as 'Missing Construction'
2,101,15,no parity-check matrix,construction listed as 'Missing Construction'
2,101,101,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,102,102,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,103,5,no parity-check matrix,construction listed as 'Missing Construction'
2,103,38,no parity-check matrix,construction listed as 'Missing Construction'
2,103,103,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,104,104,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,105,35,no parity-check matrix,construction listed as 'Missing Construction'
2,105,105,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,106,106,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,107,107,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,108,108,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,109,75,parity-check matrix belongs to a different code,"d=7: row count 32 != expected 34, i.e. the printed matrix is for [[109,77]] rather than the requested [[109,75]] (different code)"
2,109,109,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,110,110,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,111,111,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,112,112,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,113,8,no parity-check matrix,construction listed as 'Missing Construction'
2,113,41,no parity-check matrix,construction listed as 'Missing Construction'
2,113,113,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,114,8,no parity-check matrix,construction listed as 'Missing Construction'
2,114,9,no parity-check matrix,construction listed as 'Missing Construction'
2,114,41,no parity-check matrix,construction listed as 'Missing Construction'
2,114,42,no parity-check matrix,construction listed as 'Missing Construction'
2,114,114,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,115,8,no parity-check matrix,construction listed as 'Missing Construction'
2,115,9,no parity-check matrix,construction listed as 'Missing Construction'
2,115,17,no parity-check matrix,construction listed as 'Missing Construction'
2,115,41,no parity-check matrix,construction listed as 'Missing Construction'
2,115,42,no parity-check matrix,construction listed as 'Missing Construction'
2,115,43,no parity-check matrix,construction listed as 'Missing Construction'
2,115,115,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,116,8,no parity-check matrix,construction listed as 'Missing Construction'
2,116,9,no parity-check matrix,construction listed as 'Missing Construction'
2,116,10,no parity-check matrix,construction listed as 'Missing Construction'
2,116,17,no parity-check matrix,construction listed as 'Missing Construction'
2,116,18,no parity-check matrix,construction listed as 'Missing Construction'
2,116,41,no parity-check matrix,construction listed as 'Missing Construction'
2,116,42,no parity-check matrix,construction listed as 'Missing Construction'
2,116,43,no parity-check matrix,construction listed as 'Missing Construction'
2,116,44,no parity-check matrix,construction listed as 'Missing Construction'
2,116,116,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,117,7,no parity-check matrix,construction listed as 'Missing Construction'
2,117,8,no parity-check matrix,construction listed as 'Missing Construction'
2,117,9,no parity-check matrix,construction listed as 'Missing Construction'
2,117,10,no parity-check matrix,construction listed as 'Missing Construction'
2,117,11,no parity-check matrix,construction listed as 'Missing Construction'
2,117,17,no parity-check matrix,construction listed as 'Missing Construction'
2,117,18,no parity-check matrix,construction listed as 'Missing Construction'
2,117,19,no parity-check matrix,construction listed as 'Missing Construction'
2,117,40,no parity-check matrix,construction listed as 'Missing Construction'
2,117,41,no parity-check matrix,construction listed as 'Missing Construction'
2,117,42,no parity-check matrix,construction listed as 'Missing Construction'
2,117,43,no parity-check matrix,construction listed as 'Missing Construction'
2,117,44,no parity-check matrix,construction listed as 'Missing Construction'
2,117,45,no parity-check matrix,construction listed as 'Missing Construction'
2,117,117,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,118,7,no parity-check matrix,construction listed as 'Missing Construction'
2,118,8,no parity-check matrix,construction listed as 'Missing Construction'
2,118,9,no parity-check matrix,construction listed as 'Missing Construction'
2,118,10,no parity-check matrix,construction listed as 'Missing Construction'
2,118,11,no parity-check matrix,construction listed as 'Missing Construction'
2,118,12,no parity-check matrix,construction listed as 'Missing Construction'
2,118,17,no parity-check matrix,construction listed as 'Missing Construction'
2,118,18,no parity-check matrix,construction listed as 'Missing Construction'
2,118,19,no parity-check matrix,construction listed as 'Missing Construction'
2,118,40,no parity-check matrix,construction listed as 'Missing Construction'
2,118,41,no parity-check matrix,construction listed as 'Missing Construction'
2,118,42,no parity-check matrix,construction listed as 'Missing Construction'
2,118,43,no parity-check matrix,construction listed as 'Missing Construction'
2,118,44,no parity-check matrix,construction listed as 'Missing Construction'
2,118,45,no parity-check matrix,construction listed as 'Missing Construction'
2,118,46,no parity-check matrix,construction listed as 'Missing Construction'
2,118,118,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,119,7,no parity-check matrix,construction listed as 'Missing Construction'
2,119,8,no parity-check matrix,construction listed as 'Missing Construction'
2,119,9,no parity-check matrix,construction listed as 'Missing Construction'
2,119,10,no parity-check matrix,construction listed as 'Missing Construction'
2,119,11,no parity-check matrix,construction listed as 'Missing Construction'
2,119,12,no parity-check matrix,construction listed as 'Missing Construction'
2,119,16,no parity-check matrix,construction listed as 'Missing Construction'
2,119,17,no parity-check matrix,construction listed as 'Missing Construction'
2,119,18,no parity-check matrix,construction listed as 'Missing Construction'
2,119,19,no parity-check matrix,construction listed as 'Missing Construction'
2,119,20,no parity-check matrix,construction listed as 'Missing Construction'
2,119,40,no parity-check matrix,construction listed as 'Missing Construction'
2,119,41,no parity-check matrix,construction listed as 'Missing Construction'
2,119,42,no parity-check matrix,construction listed as 'Missing Construction'
2,119,119,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,120,7,no parity-check matrix,construction listed as 'Missing Construction'
2,120,8,no parity-check matrix,construction listed as 'Missing Construction'
2,120,9,no parity-check matrix,construction listed as 'Missing Construction'
2,120,10,no parity-check matrix,construction listed as 'Missing Construction'
2,120,11,no parity-check matrix,construction listed as 'Missing Construction'
2,120,12,no parity-check matrix,construction listed as 'Missing Construction'
2,120,13,no parity-check matrix,construction listed as 'Missing Construction'
2,120,16,no parity-check matrix,construction listed as 'Missing Construction'
2,120,17,no parity-check matrix,construction listed as 'Missing Construction'
2,120,18,no parity-check matrix,construction listed as 'Missing Construction'
2,120,19,no parity-check matrix,construction listed as 'Missing Construction'
2,120,20,no parity-check matrix,construction listed as 'Missing Construction'
2,120,21,no parity-check matrix,construction listed as 'Missing Construction'
2,120,120,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,121,6,no parity-check matrix,construction listed as 'Missing Construction'
2,121,7,no parity-check matrix,construction listed as 'Missing Construction'
2,121,8,no parity-check matrix,construction listed as 'Missing Construction'
2,121,9,no parity-check matrix,construction listed as 'Missing Construction'
2,121,10,no parity-check matrix,construction listed as 'Missing Construction'
2,121,11,no parity-check matrix,construction listed as 'Missing Construction'
2,121,12,no parity-check matrix,construction listed as 'Missing Construction'
2,121,13,no parity-check matrix,construction listed as 'Missing Construction'
2,121,14,no parity-check matrix,construction listed as 'Missing Construction'
2,121,16,no parity-check matrix,construction listed as 'Missing Construction'
2,121,17,no parity-check matrix,construction listed as 'Missing Construction'
2,121,18,no parity-check matrix,construction listed as 'Missing Construction'
2,121,19,no parity-check matrix,construction listed as 'Missing Construction'
2,121,20,no parity-check matrix,construction listed as 'Missing Construction'
2,121,21,no parity-check matrix,construction listed as 'Missing Construction'
2,121,22,no parity-check matrix,construction listed as 'Missing Construction'
2,121,39,no parity-check matrix,construction listed as 'Missing Construction'
2,121,121,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,122,6,no parity-check matrix,construction listed as 'Missing Construction'
2,122,7,no parity-check matrix,construction listed as 'Missing Construction'
2,122,8,no parity-check matrix,construction listed as 'Missing Construction'
2,122,9,no parity-check matrix,construction listed as 'Missing Construction'
2,122,10,no parity-check matrix,construction listed as 'Missing Construction'
2,122,11,no parity-check matrix,construction listed as 'Missing Construction'
2,122,12,no parity-check matrix,construction listed as 'Missing Construction'
2,122,13,no parity-check matrix,construction listed as 'Missing Construction'
2,122,14,no parity-check matrix,construction listed as 'Missing Construction'
2,122,15,no parity-check matrix,construction listed as 'Missing Construction'
2,122,16,no parity-check matrix,construction listed as 'Missing Construction'
2,122,17,no parity-check matrix,construction listed as 'Missing Construction'
2,122,18,no parity-check matrix,construction listed as 'Missing Construction'
2,122,19,no parity-check matrix,construction listed as 'Missing Construction'
2,122,20,no parity-check matrix,construction listed as 'Missing Construction'
2,122,21,no parity-check matrix,construction listed as 'Missing Construction'
2,122,22,no parity-check matrix,construction listed as 'Missing Construction'
2,122,23,no parity-check matrix,construction listed as 'Missing Construction'
2,122,31,no parity-check matrix,construction listed as 'Missing Construction'
2,122,39,no parity-check matrix,construction listed as 'Missing Construction'
