q,n,M,usable
2,2,0.0,False
2,4,0.0,False
2,5,0.12877123795494516,True
2,6,0.13357370072653496,True
2,8,0.10517937960096613,True
2,10,0.09976302134402826,True
2,11,0.09466287658320283,True
2,12,0.08951045660766421,True
2,13,0.04152802580438242,True
2,14,0.07558791789631569,True
2,15,0.04517960392239284,True
2,16,0.06721022675812705,True
2,17,0.06654177460929545,True
2,18,0.0,False
2,19,0.024965044544215997,True
2,20,0.01937970086691565,True
2,21,0.05515131251722183,True
2,22,0.0,False
2,23,0.024376488679827557,True
2,24,0.021653070364166194,True
2,25,0.017092650932015396,True
2,26,0.01466856786204862,True
2,27,0.015253907345179174,True
2,28,0.013765427190214008,True
2,29,0.019802674479060478,True
2,30,0.01976324668302243,True
2,31,0.01804233597816618,True
2,32,0.04116409012218236,True
2,33,0.022876596906013624,True
2,34,0.013826147517741139,True
2,35,0.03872615179080585,True
2,36,0.02476381838963515,True
2,37,0.02040908766996008,True
2,38,0.016634668221888527,True
2,40,0.023740105909943354,True
2,41,0.02297730686205246,True
2,42,0.018437532128165235,True
2,43,0.022700973578778094,True
2,44,0.019274944909034253,True
2,45,0.01123489881269013,True
2,46,0.016491758076629615,True
2,47,0.01612165121041209,True
2,48,0.02002886295099693,True
2,49,0.01503031713916092,True
2,50,0.012895526248820732,True
2,51,0.014916238783142965,True
2,52,0.028967376775714704,True
2,53,0.019950783773313052,True
2,54,0.015011855134386853,True
2,55,0.01902220360411422,True
2,56,0.018407273776260724,True
2,57,0.018436575080876483,True
2,58,0.01400046532711674,True
2,59,0.018255998262115214,True
2,60,0.013519657439969301,True
2,61,0.018034509242496832,True
2,62,0.01891449833414427,True
2,63,0.017303815132061362,True
2,64,0.013226399750240314,True
2,65,0.0133673249602555,True
2,66,0.012978044872141603,True
2,67,0.012967870989416874,True
2,68,0.016254040542686865,True
2,69,0.01649680062161507,True
2,70,0.022882584811321993,True
2,71,0.015905351117106892,True
2,72,0.016110570080040354,True
2,73,0.016261355248563647,True
2,74,0.015476856534429762,True
2,75,0.02163900548715747,True
2,76,0.015037207454625778,True
2,77,0.01523104114747964,True
2,78,0.014849149167452946,True
2,79,0.014741742509825628,True
2,80,0.020535656352199894,True
2,81,0.00856195834400486,True
2,82,0.0,False
2,83,0.002676967666749075,True
2,84,0.009099891517036052,True
2,85,0.01954941146726108,True
2,86,0.0,False
2,87,0.00871860186178397,True
2,88,0.008790676179358026,True
2,89,0.0075659619854611115,True
2,90,0.010712461845297394,True
2,91,0.008202219624865004,True
2,92,0.010172705316435104,True
2,93,0.003684107967450778,True
2,94,0.010111152086441755,True
2,95,0.007912248605079664,True
2,96,0.012818515807564212,True
2,97,0.0020136739667769854,True
2,98,0.009888575975723013,True
2,99,0.004552555138418568,True
2,100,0.00983992135130518,True
2,101,0.004539317162463474,True
2,102,0.008370456610803156,True
2,103,0.0029992580556493786,True
2,104,0.010129915121660837,True
2,105,0.005190275453187176,True
2,106,0.007816746896926241,True
2,107,0.005191752170182751,True
2,108,0.0076758199442045205,True
2,109,0.0048993428332039235,True
2,110,0.009240715453892046,True
2,111,0.004417370344623195,True
2,112,0.009063609700001751,True
2,113,0.0036635579742189117,True
2,114,0.007499621262054612,True
2,115,0.005865539293375632,True
2,116,0.008981787515008333,True
2,117,0.005404163927642869,True
2,118,0.0036505251541119055,True
2,119,0.004518903209603908,True
2,120,0.014900066269811663,True
2,121,0.005803226248973226,True
2,122,0.004069939200566752,True
2,123,0.00571401620356482,True
2,124,0.004752631168560284,True
2,125,0.003985595674850462,True
2,126,0.00412602269255169,True
2,127,0.005104207456497201,True
2,128,0.014149606614884513,True
2,129,0.006909709137278841,True
2,130,0.004658585885871536,True
2,131,0.00806365981612378,True
2,132,0.006147272322770347,True
2,133,0.005366719168465428,True
2,134,0.006551982044042837,True
2,135,0.006369544174962272,True
2,136,0.0064584319388898415,True
2,137,0.0036239854531483484,True
2,138,0.005481952728771389,True
2,139,0.005036160343296792,True
2,140,0.00630711480572288,True
2,141,0.006159505964409617,True
2,142,0.004118092529992401,True
2,143,0.0061160977937220196,True
2,144,0.005182346095665813,True
2,145,0.005040512395111496,True
2,146,0.006144399315252569,True
2,147,0.004095330464878644,True
2,148,0.006244327526531479,True
2,149,0.005866945568944404,True
2,150,0.004065911290579205,True
2,151,0.0048582739224035665,True
2,152,0.007287260865531997,True
2,153,0.005873475139603901,True
2,154,0.009060777051059121,True
2,155,0.004132630443080543,True
2,156,0.007229041052996155,True
2,157,0.003996271051292188,True
2,158,0.005677702238842786,True
2,159,0.007054622642499342,True
2,160,0.007062945507822382,True
2,161,0.004681191031425391,True
2,162,0.005512832891266473,True
2,163,0.009479475381734437,True
2,164,0.007218570985493833,True
2,165,0.006918485197686786,True
2,166,0.005666651464430905,True
2,168,0.008432568591294154,True
2,170,0.006217172675720195,True
2,171,0.007589184667252891,True
2,172,0.00855437497889322,True
2,173,0.006883104945352492,True
2,174,0.006841022589916257,True
2,175,0.005888046738175112,True
2,176,0.005470657987294847,True
2,177,0.005588408964416702,True
2,178,0.006132456187897928,True
2,179,0.00572192422200557,True
2,180,0.006342468247924948,True
2,181,0.005615685656361946,True
2,182,0.006455993596437115,True
2,183,0.005874903096968032,True
2,184,0.006586765265240269,True
2,185,0.006793720745067566,True
2,186,0.005135018564225935,True
