series,q,ln_q2,alpha,beta,alpha_x_lnq2,env_a,env_a_x_lnq2,theory_a
C,2,1.3862943611198906,0.6138382953011885,-0.7752473216314133,0.8509605674154839,0.429186921355221,0.5949794089411489,0.36067376022224085
C,3,2.1972245773362196,0.3140908867181933,-0.7144763480363131,0.6901282158145406,0.2612051465142309,0.5739263676477763,0.22755980665670933
C,4,2.772588722239781,0.2707218838915403,-0.7443462173498899,0.750600442141192,0.18752333831469956,0.5199250929680911,0.18033688011112042
C,5,3.2188758248682006,0.26517626176650216,-0.7835825554896227,0.8535694583291156,0.16324013273180768,0.525449716898692,0.15533373363990297
C,7,3.8918202981106265,0.19032154184121286,-0.742480821078216,0.7406972397053431,0.15221527485947065,0.592394496380576,0.12847458559243768
C,8,4.1588830833596715,0.18151562627700218,-0.7487824829920157,0.7549022674888607,0.1423952825655284,0.5922053318119965,0.12022458674074696
C',2,1.3862943611198906,0.4350621613570649,-0.841441189236002,0.603124221025931,0.31672748254116057,0.4390775230585095,0.36067376022224085
C',3,2.1972245773362196,0.15083763698531552,-0.7018007586162537,0.331424163171454,0.1802801584260616,0.3961159948998099,0.22755980665670933
C',4,2.772588722239781,0.14149513035721548,-0.9100517873206678,0.39230780268026333,0.13419594578154467,0.3720701658442119,0.18033688011112042
C',5,3.2188758248682006,0.7658899533284331,-1.3676821092366491,2.4653046552783278,0.15471268496832802,0.4980009214450009,0.15533373363990297
C',7,3.8918202981106265,8.586975174011705,-2.1434811265977665,33.41896428159078,0.1514207364959362,0.589302295849745,0.12847458559243768
C',8,4.1588830833596715,6.012028934298115,-1.9781646795930812,25.003325431521304,0.151529085115253,0.6301917487227935,0.12022458674074696
