target,regime,q,features,n_features,R2,rmse,n_codes
C',all semi-perfect,2,n only,2,0.35383783426476356,0.0141222321734488,384
C',all semi-perfect,2,"n, k",5,0.7441905348528004,0.008885684507107059,384
C',all semi-perfect,2,"n, k + delta",7,0.905908374975529,0.005388998577610867,384
C',all semi-perfect,3,n only,2,0.27246064551221605,0.012179700602750658,249
C',all semi-perfect,3,"n, k",5,0.8711805815860884,0.005125060949659841,249
C',all semi-perfect,3,"n, k + delta",7,0.9155648195834392,0.004149254611989955,249
C',all semi-perfect,4,n only,2,0.4006043434758637,0.010199380531615516,236
C',all semi-perfect,4,"n, k",5,0.8979285204902999,0.004208905786382296,236
C',all semi-perfect,4,"n, k + delta",7,0.9429543953063377,0.003146502590095763,236
C',all semi-perfect,5,n only,2,0.536608649555345,0.009451015511751593,245
C',all semi-perfect,5,"n, k",5,0.9476337948759819,0.0031770940095974635,245
C',all semi-perfect,5,"n, k + delta",7,0.9516921686243038,0.0030514993744050916,245
C',all semi-perfect,7,n only,2,0.5338300905508047,0.006898006165339177,353
C',all semi-perfect,7,"n, k",5,0.9268443218638327,0.0027325963248953098,353
C',all semi-perfect,7,"n, k + delta",7,0.9342406642927314,0.0025907778081409433,353
C',all semi-perfect,8,n only,2,0.49860295556244016,0.0058816638270900706,442
C',all semi-perfect,8,"n, k",5,0.9243541373751301,0.0022845565008908562,442
C',all semi-perfect,8,"n, k + delta",7,0.9317652406328573,0.002169762233443711,442
C',all semi-perfect,pooled,n only,2,0.3373526914189503,0.010637519635163536,1909
C',all semi-perfect,pooled,"n, k",5,0.710248929768251,0.007034150886236919,1909
C',all semi-perfect,pooled,"n, k + delta",7,0.7867358677894527,0.00603473307623941,1909
C',all semi-perfect,pooled,"n, q",4,0.3890908125153789,0.010213803158287182,1909
C',all semi-perfect,pooled,"n, k, q",8,0.7677856831319486,0.0062971443906038324,1909
C',all semi-perfect,pooled,"n, k, q + delta",9,0.8230042666583448,0.005497693883035737,1909
C',below entropy peak,2,n only,2,0.6238157277481635,0.023731012238627745,41
C',below entropy peak,2,"n, k",5,0.8775158697068292,0.013541159621685336,41
C',below entropy peak,2,"n, k + delta",7,0.9876671367141583,0.004296827360015934,41
C',below entropy peak,3,n only,2,0.9084173022126556,0.006240939232722904,80
C',below entropy peak,3,"n, k",5,0.9497599157408959,0.004622409501388117,80
C',below entropy peak,3,"n, k + delta",7,0.9823496831509568,0.002739803970136797,80
C',below entropy peak,4,n only,2,0.9203774580809427,0.005847995988282655,56
C',below entropy peak,4,"n, k",5,0.9461333223950682,0.004810045027693302,56
C',below entropy peak,4,"n, k + delta",7,0.99416555567388,0.0015830287304728627,56
C',below entropy peak,5,n only,2,0.9151393023507196,0.004027491478033048,87
C',below entropy peak,5,"n, k",5,0.9886887725390551,0.0014704023873024594,87
C',below entropy peak,5,"n, k + delta",7,0.9960705157120365,0.0008666607124442803,87
C',below entropy peak,7,n only,2,0.9200772976205351,0.0025685510838881122,207
C',below entropy peak,7,"n, k",5,0.9941886669820958,0.0006926135906819486,207
C',below entropy peak,7,"n, k + delta",7,0.9953286272731491,0.000620976818416098,207
C',below entropy peak,8,n only,2,0.929754950594106,0.002041225671754255,308
C',below entropy peak,8,"n, k",5,0.9962111384228606,0.00047406460404421174,308
C',below entropy peak,8,"n, k + delta",7,0.9962111384228606,0.00047406460404421206,308
C',below entropy peak,pooled,n only,2,0.6637996351408602,0.009133730436445353,779
C',below entropy peak,pooled,"n, k",5,0.7165272819771026,0.008386963130989376,779
C',below entropy peak,pooled,"n, k + delta",7,0.8080695579392293,0.006901143081320214,779
C',below entropy peak,pooled,"n, q",4,0.8157399510295267,0.006761836899507145,779
C',below entropy peak,pooled,"n, k, q",8,0.8797242569392884,0.005463087094525389,779
C',below entropy peak,pooled,"n, k, q + delta",9,0.9707683782519325,0.0026932430952482087,779
C',past entropy peak,2,n only,2,0.2387392625083461,0.00899836472557037,343
C',past entropy peak,2,"n, k",5,0.8476806756580557,0.004025078723419945,343
C',past entropy peak,2,"n, k + delta",7,0.9123924413491986,0.0030525842952118286,343
C',past entropy peak,3,n only,2,0.015320633595146016,0.0057925177339876455,169
C',past entropy peak,3,"n, k",5,0.7394288675505036,0.0029797724707810867,169
C',past entropy peak,3,"n, k + delta",7,0.7568887118546215,0.0028782102504197058,169
C',past entropy peak,4,n only,2,0.007257294541935466,0.0021155421041734023,180
C',past entropy peak,4,"n, k",5,0.31211317211626066,0.001761009981569552,180
C',past entropy peak,4,"n, k + delta",7,0.6072153325340934,0.0013307013093010445,180
C',past entropy peak,5,n only,2,0.03601287958208155,0.001478036023063897,158
C',past entropy peak,5,"n, k",5,0.56327511889425,0.0009948403023748826,158
C',past entropy peak,5,"n, k + delta",7,0.6436816790553288,0.0008986042738263066,158
C',past entropy peak,7,n only,2,0.0024739977328526175,0.0005185570078036922,146
C',past entropy peak,7,"n, k",5,0.026467265596957112,0.0005122826820738565,146
C',past entropy peak,7,"n, k + delta",7,0.7756988940663668,0.00024589522911387657,146
C',past entropy peak,8,n only,2,7.298034387515084e-05,0.00037714507650575367,134
C',past entropy peak,8,"n, k",5,0.005124624972314473,0.00037619119925395584,134
C',past entropy peak,8,"n, k + delta",7,0.9395754257763691,9.271096254223248e-05,134
C',past entropy peak,pooled,n only,2,0.0074933356031468,0.0066891108640100595,1130
