q,n_points,n_lengths_total,n_lengths_dropped,n_min,n_max,b_0,R2_0_on_M,R2_0_on_nM,nM_cv,nM_min,nM_max,a_A,b_A,R2_A,R2_A_on_M,F_logterm,p_logterm,log_supported,a_B,b_B,R2_B,alpha_pow,beta_pow,R2_pow_log,R2_pow_lin,pow_usable
2,243,249,6,5,256,0.9633619236472506,0.8352974442690277,0.0,0.30748048684988255,0.19532637477736758,1.8111496467052177,0.13189954220522576,0.34936024296619883,0.12804466670905035,0.8552559759965154,35.390304409760795,9.439156012369665e-09,True,0.05466008927029621,0.66418729611105,0.8981406698294098,0.43506216135706466,-0.8414411892360023,0.8019843262207057,0.8445680239165989,True
3,93,99,6,4,100,0.516096264666754,0.7454944026882122,0.0,0.43247609292443073,0.11523114984715066,0.9195553072641772,0.13385196538920158,0.01485744338916699,0.20651547365962797,0.6200126787858173,23.684025937721646,4.746081596285201e-06,True,-0.002021516767424585,0.41904973235520115,0.8387475792436263,0.15083763698531577,-0.7018007586162536,0.5788522380411555,0.6550538701673121,True
4,90,99,9,4,100,0.2583908998294331,0.7935103092060561,0.0,0.6234865867646391,0.005041168491081605,0.6926201139949169,-0.0017525199975290163,0.26489601266987667,7.157834501037019e-05,0.7991945747381914,0.006299345257624557,0.9369197994478279,False,-0.04702755449807448,0.43465755629896385,0.8726598951388731,0.14149513035721545,-0.9100517873206676,0.4046970889699677,0.5493135687899193,True
5,95,99,4,4,100,0.23259303083798602,0.7601215623957744,0.0,0.5604538833865143,0.017988354607294865,0.5215729769905877,-0.10234707937336045,0.6151830246774408,0.3622527743276577,0.7509495018032262,52.82580096989861,1.1103795660716287e-10,True,0.007696654553946077,0.3167971313209554,0.8844225443567895,0.7658899533284336,-1.3676821092366493,0.7575166408867577,0.7466130031046925,True
7,77,99,22,4,100,0.2628415800703298,0.8430355086451974,0.0,0.683510295674602,0.0034531517451202864,0.4535165650084938,-0.12993618068203772,0.7307090758796001,0.3346290929565514,0.014828551992847938,37.719085259167365,3.589114383473202e-08,True,0.06691309134532177,0.1566607831770922,0.91271382245714,8.586975174011695,-2.143481126597766,0.6962390147456765,-16.294023225943157,False
8,81,99,18,4,99,0.30460743977279836,0.8458738537548105,0.0,0.5247964465447219,0.001247045583277262,0.44410311066433006,-0.07353974074625759,0.569224606784969,0.12325085909387645,0.19246642064156838,11.105591570187574,0.0013114230131830995,True,0.075958846418483,0.12065004834033485,0.9374834561714233,6.012028934298142,-1.9781646795930812,0.5674304448313119,-16.725533690914336,False
