series,q,n_codes,n_lengths,theory_a,theory_b,theory_R2,power_alpha,power_beta,power_R2_lin,power_R2_log,a_x_lnq2,alpha_x_lnq2
C',2,251,243,0.05466008927029621,0.66418729611105,0.8981406698294098,0.43506216135706466,-0.8414411892360023,0.8445680239165989,0.8019843262207057,0.07577497353372147,0.6031242210259307
C',3,150,93,-0.002021516767424585,0.41904973235520115,0.8387475792436263,0.15083763698531577,-0.7018007586162536,0.6550538701673121,0.5788522380411555,-0.0044417263248825644,0.33142416317145457
C',4,134,90,-0.04702755449807448,0.43465755629896385,0.8726598951388731,0.14149513035721545,-0.9100517873206676,0.5493135687899193,0.4046970889699677,-0.13038806723587798,0.3923078026802633
C',5,145,95,0.007696654553946077,0.3167971313209554,0.8844225443567895,0.7658899533284336,-1.3676821092366493,0.7466130031046925,0.7575166408867577,0.024774575276058773,2.465304655278329
C',7,235,77,0.06691309134532177,0.1566607831770922,0.91271382245714,8.586975174011695,-2.143481126597766,-16.294023225943157,0.6962390147456765,0.26041372710705374,33.41896428159074
C',8,327,81,0.075958846418483,0.12065004834033485,0.9374834561714233,6.012028934298142,-1.9781646795930812,-16.725533690914336,0.5674304448313119,0.3159039614013443,25.003325431521418
|C'-C|,2,236,230,-0.00012850022296475683,0.3517538508176821,0.2240848538600324,0.11070920453975623,-1.0977926420232313,0.03334396774802906,0.15051491468506817,-0.00017813913449869106,0.15347554597753266
|C'-C|,3,123,80,0.05130815377753772,-0.054872986055365766,0.14477738708471344,0.2695144645726773,-1.3875595149386162,-0.03080920791337971,0.23040045631303474,0.11273553649775207,0.5921838055066984
|C'-C|,4,106,74,-0.0018614223278193354,0.11697350176180564,0.14331507457537063,0.002948430510972731,-0.16799764220014862,-0.06903857688408266,0.006603819531723287,-0.00516095855343721,0.008174785183030669
|C'-C|,5,73,73,0.00432120133369769,0.04617796821033151,0.11933610495347935,0.018443016628528215,-0.7975286181320012,-0.031349162462507074,0.07690992479448344,0.013909410507427722,0.0593657803632117
|C'-C|,7,48,48,-0.15473255528674273,0.7269061672715363,0.6518320194677947,12178.227680071685,-3.915067455142962,0.6066208227531891,0.4114372287898864,-0.60219129944347,47395.47368031566
|C'-C|,8,34,34,-0.14760850239444734,0.7284003460605512,0.3833504083944952,11444.4376001549,-3.73299730587895,0.3184312513962304,0.4648410379187069,-0.6138865035683226,47596.07793384957
