q,n_points,n_zero,n_pos,n_neg,frac_zero,frac_pos,frac_neg,D_min,D_max,mean_abs_all,median_abs_nonzero,mean_abs_nonzero,max_abs,n_range_min,n_range_max
2,384,148,184,52,0.3854166666666667,0.4791666666666667,0.13541666666666666,-0.09194218300574675,0.027965502411922527,0.002458469518903775,0.0007440982666530038,0.004000221590080719,0.09194218300574675,2,256
3,249,126,51,72,0.5060240963855421,0.20481927710843373,0.2891566265060241,-0.014212179128567759,0.01410024272276178,0.001277513488468242,0.00115818435297943,0.0025861858425088803,0.014212179128567759,2,100
4,236,130,49,57,0.5508474576271186,0.2076271186440678,0.24152542372881355,-0.017546011931574235,0.006915904602132983,0.0008946292110532313,0.0013195593186841603,0.001991815979326062,0.017546011931574235,2,100
5,245,172,47,26,0.7020408163265306,0.19183673469387755,0.10612244897959183,-0.006056549884637885,0.004050329258943219,0.0003367541459181847,0.0007013398389317249,0.0011302022705473322,0.006056549884637885,2,100
7,353,305,13,35,0.8640226628895185,0.036827195467422094,0.09915014164305949,-0.0029786569564600462,0.0006704854069553567,0.00012322001940661786,0.000814169300196177,0.0009061805593861688,0.0029786569564600462,2,100
8,442,408,0,34,0.9230769230769231,0.0,0.07692307692307693,-0.001998793244096131,0.0,7.318666238467687e-05,0.0008849973448515902,0.0009514266110007993,0.001998793244096131,2,100
