q,n,k,d,label,delta_avg,delta_max,C,C_prime,D,past_peak,uniform
2,28,21,3,"[[28,21,3]]_2",0.7653061224489796,0.8214285714285714,0.00366011619891371,0.013765427190214008,0.010105310991300298,True,False
2,28,26,2,"[[28,26,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,29,1,11,"[[29,1,11]]_2",0.4433497536945813,0.5517241379310345,0.04439808275454549,-0.042259830816684385,-0.08665791357122987,False,False
2,29,22,3,"[[29,22,3]]_2",0.7389162561576355,0.7586206896551724,0.019892645022056343,0.019802674479060478,-8.997054299586527e-05,True,False
2,30,0,12,"[[30,0,12]]_2",0.4444444444444445,0.5333333333333333,0.043776101389811695,-0.02952446249172469,-0.07330056388153638,False,False
2,30,23,3,"[[30,23,3]]_2",0.761904761904762,0.8,0.014987879761460099,0.01976324668302243,0.0047753669215623296,True,False
2,30,28,2,"[[30,28,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,31,24,3,"[[31,24,3]]_2",0.7557603686635944,0.7741935483870968,0.01695490156255075,0.01804233597816618,0.0010874344156154292,True,False
2,32,25,3,"[[32,25,3]]_2",0.75,0.75,0.04116409012218236,0.04116409012218236,0.0,False,True
2,32,30,2,"[[32,30,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,33,26,3,"[[33,26,3]]_2",0.748917748917749,0.8484848484848485,0.0020966912252440295,0.022876596906013624,0.020779905680769595,True,False
2,34,27,3,"[[34,27,3]]_2",0.7563025210084033,0.8235294117647058,0.002682016982006541,0.013826147517741139,0.011144130535734598,True,False
2,34,32,2,"[[34,32,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,35,28,3,"[[35,28,3]]_2",0.7428571428571429,0.7428571428571429,0.03872615179080585,0.03872615179080585,0.0,False,True
2,36,29,3,"[[36,29,3]]_2",0.7420634920634921,0.75,0.024884142772576445,0.02476381838963515,-0.00012032438294129477,False,False
2,36,34,2,"[[36,34,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,37,30,3,"[[37,30,3]]_2",0.7722007722007722,0.8648648648648649,-0.007556414741962447,0.02040908766996008,0.027965502411922527,True,False
2,38,31,3,"[[38,31,3]]_2",0.7406015037593985,0.7631578947368421,0.016466143007304535,0.016634668221888527,0.00016852521458399217,True,False
2,38,36,2,"[[38,36,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,40,33,3,"[[40,33,3]]_2",0.7642857142857143,0.8,0.019086880550275187,0.023740105909943354,0.004653225359668167,True,False
2,40,38,2,"[[40,38,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,41,31,4,"[[41,31,4]]_2",0.7414634146341463,0.7804878048780488,0.021276286433346114,0.02297730686205246,0.0017010204287063457,True,False
2,42,34,3,"[[42,34,3]]_2",0.7261904761904762,0.7619047619047619,0.01923055703925791,0.018437532128165235,-0.0007930249110926768,True,False
2,42,40,2,"[[42,40,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,43,35,3,"[[43,35,3]]_2",0.7209302325581395,0.7441860465116279,0.024222489001544223,0.022700973578778094,-0.0015215154227661287,False,False
2,44,36,3,"[[44,36,3]]_2",0.7272727272727273,0.7727272727272727,0.019234688758023033,0.019274944909034253,4.025615101121982e-05,True,False
2,44,42,2,"[[44,42,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,45,37,3,"[[45,37,3]]_2",0.6888888888888889,0.7555555555555555,0.01801776131759303,0.01123489881269013,-0.006782862504902898,True,False
2,46,38,3,"[[46,38,3]]_2",0.7391304347826086,0.782608695652174,0.014607308205008551,0.016491758076629615,0.0018844498716210634,True,False
2,46,44,2,"[[46,44,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,47,39,3,"[[47,39,3]]_2",0.723404255319149,0.7659574468085106,0.016954949964183785,0.01612165121041209,-0.000833298753771694,True,False
2,48,40,3,"[[48,40,3]]_2",0.71875,0.75,0.021858745540145663,0.02002886295099693,-0.0018298825891487347,False,False
2,48,46,2,"[[48,46,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,49,41,3,"[[49,41,3]]_2",0.7244897959183674,0.7755102040816326,0.014973347318338659,0.01503031713916092,5.696982082226132e-05,True,False
2,50,42,3,"[[50,42,3]]_2",0.74,0.8,0.008035262467827708,0.012895526248820732,0.004860263780993024,True,False
2,50,48,2,"[[50,48,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,51,43,3,"[[51,43,3]]_2",0.7058823529411765,0.7450980392156863,0.018481161732191054,0.014916238783142965,-0.0035649229490480883,False,False
2,52,44,3,"[[52,44,3]]_2",0.7307692307692307,0.7307692307692307,0.028967376775714704,0.028967376775714704,0.0,False,True
2,52,50,2,"[[52,50,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,53,45,3,"[[53,45,3]]_2",0.7452830188679245,0.7547169811320755,0.019950424822693047,0.019950783773313052,3.5895062000523836e-07,True,False
2,54,46,3,"[[54,46,3]]_2",0.75,0.7777777777777778,0.013488414224702261,0.015011855134386853,0.0015234409096845924,True,False
2,54,52,2,"[[54,52,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,55,47,3,"[[55,47,3]]_2",0.7454545454545455,0.7636363636363637,0.018699617297995297,0.01902220360411422,0.0003225863061189216,True,False
2,56,48,3,"[[56,48,3]]_2",0.7678571428571429,0.7857142857142857,0.016492292169569822,0.018407273776260724,0.001914981606690902,True,False
2,56,54,2,"[[56,54,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,57,49,3,"[[57,49,3]]_2",0.7456140350877193,0.7719298245614035,0.017529341838846357,0.018436575080876483,0.0009072332420301255,True,False
2,58,50,3,"[[58,50,3]]_2",0.7586206896551724,0.7931034482758621,0.01041844069792175,0.01400046532711674,0.003582024629194991,True,False
2,58,56,2,"[[58,56,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,59,51,3,"[[59,51,3]]_2",0.7288135593220338,0.7457627118644068,0.019069530454848382,0.018255998262115214,-0.0008135321927331685,False,False
2,60,52,3,"[[60,52,3]]_2",0.7666666666666667,0.8,0.009011272819985816,0.013519657439969301,0.004508384619983485,True,False
2,60,58,2,"[[60,58,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,61,53,3,"[[61,53,3]]_2",0.7459016393442623,0.7540983606557377,0.018034273813377744,0.018034509242496832,2.3542911908869257e-07,True,False
2,62,54,3,"[[62,54,3]]_2",0.7419354838709677,0.7741935483870968,0.01788712766190992,0.01891449833414427,0.0010273706722343512,True,False
2,62,60,2,"[[62,60,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,63,55,3,"[[63,55,3]]_2",0.746031746031746,0.7619047619047619,0.017058414821163215,0.017303815132061362,0.0002454003108981473,True,False
2,64,56,3,"[[64,56,3]]_2",0.75,0.78125,0.011291607863639697,0.013226399750240314,0.0019347918866006175,True,False
2,64,62,2,"[[64,62,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,65,57,3,"[[65,57,3]]_2",0.7461538461538462,0.7692307692307693,0.012671564527239276,0.0133673249602555,0.0006957604330162237,True,False
2,66,58,3,"[[66,58,3]]_2",0.75,0.7878787878787878,0.010116133228314395,0.012978044872141603,0.0028619116438272085,True,False
2,66,64,2,"[[66,64,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,67,59,3,"[[67,59,3]]_2",0.7686567164179104,0.8059701492537313,0.007278205019817574,0.012967870989416874,0.0056896659695993,True,False
2,68,60,3,"[[68,60,3]]_2",0.7426470588235294,0.7647058823529411,0.01593573968421247,0.016254040542686865,0.00031830085847439626,True,False
2,68,66,2,"[[68,66,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,69,61,3,"[[69,61,3]]_2",0.7463768115942029,0.7536231884057971,0.016496637956692428,0.01649680062161507,1.6266492264271903e-07,True,False
2,70,62,3,"[[70,62,3]]_2",0.7428571428571429,0.7428571428571429,0.022882584811321993,0.022882584811321993,0.0,False,True
