q,n_codes,coverage_all,coverage_below_peak,n_violations,max_n_violation,median_n_violation
2,17882,0.9967565149312158,0.9956729334527007,58,118,66.5
3,4511,0.9933495898913767,0.9924337957124842,30,65,33.0
4,3707,0.9962233612085244,0.9956386292834891,14,42,21.0
5,2891,0.9896229678312003,0.9880905121079794,30,44,25.0
7,2971,0.990575563783238,0.9897398314400879,28,40,18.5
8,2813,0.9904017063633132,0.9894242068155111,27,42,20.0
