STAGE-1 UNDETECTED SET U_8   (218 errors)
IYYIIIIZIZIIII  Y_1 Y_2 Z_7 Z_9
IXXIIIIYIIIIYI  X_1 X_2 Y_7 Y_12
IXXIIIIYIIIIZI  X_1 X_2 Y_7 Z_12
IXYIIIIIYIIYII  X_1 Y_2 Y_8 Y_11
IXYIIIIIYIIZII  X_1 Y_2 Y_8 Z_11
IZIZIIXIXIIIII  Z_1 Z_3 X_6 X_8
IYIXIIIYIIIYII  Y_1 X_3 Y_7 Y_11
IYIXIIIYIIIZII  Y_1 X_3 Y_7 Z_11
IXIZIIIZIIIIIX  X_1 Z_3 Z_7 X_13
IZIYIIIIYIXIII  Z_1 Y_3 Y_8 X_10
IZIXIIIIZIXIII  Z_1 X_3 Z_8 X_10
IZIYIIIIYIYIII  Z_1 Y_3 Y_8 Y_10
IZIXIIIIZIYIII  Z_1 X_3 Z_8 Y_10
IYIYIIIIIYIIIZ  Y_1 Y_3 Y_9 Z_13
IYIYIIIIIZIIIZ  Y_1 Y_3 Z_9 Z_13
IYIIYXIIIIIYII  Y_1 Y_4 X_5 Y_11
IYIIYXIIIIIZII  Y_1 Y_4 X_5 Z_11
IZIIZIXIIIIIIY  Z_1 Z_4 X_6 Y_13
IYIIZIIYYIIIII  Y_1 Z_4 Y_7 Y_8
IXIIYIIIZIIIYI  X_1 Y_4 Z_8 Y_12
IXIIYIIIZIIIZI  X_1 Y_4 Z_8 Z_12
IYIIIZIZZIIIII  Y_1 Z_5 Z_7 Z_8
IXIIIZIYIIIIIZ  X_1 Z_5 Y_7 Z_13
IZIIIZIIYIIIIX  Z_1 Z_5 Y_8 X_13
IZIIIIXIIXZIII  Z_1 X_6 X_9 Z_10
IZIIIIXIIXIXII  Z_1 X_6 X_9 X_11
IZIIIIXIIXIIXI  Z_1 X_6 X_9 X_12
IZIIIIXIIIZXII  Z_1 X_6 Z_10 X_11
IZIIIIXIIIZIXI  Z_1 X_6 Z_10 X_12
IZIIIIXIIIIXXI  Z_1 X_6 X_11 X_12
IXIIIIIZXIIIIX  X_1 Z_7 X_8 X_13
IYIIIIIYYIIIIY  Y_1 Y_7 Y_8 Y_13
IZIIIIIXZIIIIZ  Z_1 X_7 Z_8 Z_13
IIZYYIXIIIIIII  Z_2 Y_3 Y_4 X_6
IIXYIXIIYIIIII  X_2 Y_3 X_5 Y_8
IIXXIXIIZIIIII  X_2 X_3 X_5 Z_8
IIZXIYIIIYIIII  Z_2 X_3 Y_5 Y_9
IIZXIYIIIZIIII  Z_2 X_3 Y_5 Z_9
IIXYIIYXIIIIII  X_2 Y_3 Y_6 X_7
IIYZIIIYIIXIII  Y_2 Z_3 Y_7 X_10
IIYZIIIYIIYIII  Y_2 Z_3 Y_7 Y_10
IIYYIIIZIIIIIZ  Y_2 Y_3 Z_7 Z_13
IIZIXXIIIIIIYI  Z_2 X_4 X_5 Y_12
IIZIXXIIIIIIZI  Z_2 X_4 X_5 Z_12
IIYIYYIIIIIIIX  Y_2 Y_4 Y_5 X_13
IIYIXYIIIIIIIZ  Y_2 X_4 Y_5 Z_13
IIYIYIZXIIIIII  Y_2 Y_4 Z_6 X_7
IIXIYIIYZIIIII  X_2 Y_4 Y_7 Z_8
IIZIYIIIYIXIII  Z_2 Y_4 Y_8 X_10
IIZIYIIIYIYIII  Z_2 Y_4 Y_8 Y_10
IIXIIXXIIIXIII  X_2 X_5 X_6 X_10
IIXIIXXIIIYIII  X_2 X_5 X_6 Y_10
IIXIIYIXIIIYII  X_2 Y_5 X_7 Y_11
IIXIIYIXIIIZII  X_2 Y_5 X_7 Z_11
IIYIIZIIZYIIII  Y_2 Z_5 Z_8 Y_9
IIYIIZIIZZIIII  Y_2 Z_5 Z_8 Z_9
IIXIIZIIIIIIYZ  X_2 Z_5 Y_12 Z_13
IIXIIZIIIIIIZZ  X_2 Z_5 Z_12 Z_13
IIZIIIZZZIIIII  Z_2 Z_6 Z_7 Z_8
IIZIIIYYIIIIIZ  Z_2 Y_6 Y_7 Z_13
IIXIIIZIIIIYIX  X_2 Z_6 Y_11 X_13
IIXIIIZIIIIZIX  X_2 Z_6 Z_11 X_13
IIYIIIIYXIXIII  Y_2 Y_7 X_8 X_10
IIYIIIIYXIYIII  Y_2 Y_7 X_8 Y_10
IIIZZZIXIIIIII  Z_3 Z_4 Z_5 X_7
