Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)
  E30     = ZXIXIIIIIIIIII
  E31     = XYIXIIIIIIIIII
  E32     = YYIXIIIIIIIIII
  E33     = ZYIXIIIIIIIIII
  E34     = XZIXIIIIIIIIII
  E35     = YZIXIIIIIIIIII
  E36     = ZZIXIIIIIIIIII
  E37     = XXIYIIIIIIIIII
  E38     = YXIYIIIIIIIIII
  E39     = ZXIYIIIIIIIIII
  E40     = XYIYIIIIIIIIII
  E41     = YYIYIIIIIIIIII
  E42     = ZYIYIIIIIIIIII
  E43     = XZIYIIIIIIIIII
  E44     = YZIYIIIIIIIIII
  E45     = ZZIYIIIIIIIIII
  E46     = XXIZIIIIIIIIII
  E47     = YXIZIIIIIIIIII
  E48     = ZXIZIIIIIIIIII
  E49     = XYIZIIIIIIIIII
  E50     = YYIZIIIIIIIIII
  E51     = ZYIZIIIIIIIIII
  E52     = XZIZIIIIIIIIII
  E53     = YZIZIIIIIIIIII
  E54     = ZZIZIIIIIIIIII
  E55     = XXIIXIIIIIIIII
  E56     = YXIIXIIIIIIIII
  E57     = ZXIIXIIIIIIIII
  E58     = XYIIXIIIIIIIII
  E59     = YYIIXIIIIIIIII
  E60     = ZYIIXIIIIIIIII
  E61     = XZIIXIIIIIIIII
  E62     = YZIIXIIIIIIIII
  E63     = ZZIIXIIIIIIIII
  E64     = XXIIIXIIIIIIII
  E65     = YXIIIXIIIIIIII
  E66     = ZXIIIXIIIIIIII
  E67     = XYIIIXIIIIIIII
  E68     = YYIIIXIIIIIIII
  E69     = ZYIIIXIIIIIIII
  E70     = XZIIIXIIIIIIII
  E71     = YZIIIXIIIIIIII
  E72     = ZZIIIXIIIIIIII
  E73     = XIXXIIIIIIIIII
  E74     = YIXXIIIIIIIIII
  E75     = ZIXXIIIIIIIIII
  E76     = XIYXIIIIIIIIII
  E77     = YIYXIIIIIIIIII
  E78     = ZIYXIIIIIIIIII
  E79     = XIZXIIIIIIIIII
  E80     = YIZXIIIIIIIIII
  E81     = ZIZXIIIIIIIIII
  E82     = XIXYIIIIIIIIII
  E83     = YIXYIIIIIIIIII
  E84     = ZIXYIIIIIIIIII
  E85     = XIYYIIIIIIIIII
  E86     = YIYYIIIIIIIIII
  E87     = ZIYYIIIIIIIIII
  E88     = XIZYIIIIIIIIII
  E89     = YIZYIIIIIIIIII
  E90     = ZIZYIIIIIIIIII
  E91     = XIXZIIIIIIIIII
  E92     = YIXZIIIIIIIIII
  E93     = ZIXZIIIIIIIIII
  E94     = XIYZIIIIIIIIII
  E95     = YIYZIIIIIIIIII
  E96     = ZIYZIIIIIIIIII
  E97     = XIZZIIIIIIIIII
  E98     = YIZZIIIIIIIIII
  E99     = ZIZZIIIIIIIIII
  E100    = XIXIXIIIIIIIII
  E101    = YIXIXIIIIIIIII
  E102    = ZIXIXIIIIIIIII
  E103    = XIYIXIIIIIIIII
  E104    = YIYIXIIIIIIIII
  E105    = ZIYIXIIIIIIIII
  E106    = XIZIXIIIIIIIII
  E107    = YIZIXIIIIIIIII
  E108    = ZIZIXIIIIIIIII
  E109    = XIXIIXIIIIIIII
  E110    = YIXIIXIIIIIIII
  E111    = ZIXIIXIIIIIIII
  E112    = XIYIIXIIIIIIII
  E113    = YIYIIXIIIIIIII
  E114    = ZIYIIXIIIIIIII
  E115    = XIZIIXIIIIIIII
  E116    = YIZIIXIIIIIIII
  E117    = ZIZIIXIIIIIIII
  E118    = XIIXXIIIIIIIII
  E119    = YIIXXIIIIIIIII
  E120    = ZIIXXIIIIIIIII
  E121    = XIIYXIIIIIIIII
  E122    = YIIYXIIIIIIIII
  E123    = ZIIYXIIIIIIIII
  E124    = XIIZXIIIIIIIII
  E125    = YIIZXIIIIIIIII
  E126    = ZIIZXIIIIIIIII
  E127    = XIIXIXIIIIIIII
  E128    = YIIXIXIIIIIIII
  E129    = ZIIXIXIIIIIIII
  E130    = XIIYIXIIIIIIII
  E131    = YIIYIXIIIIIIII
  E132    = ZIIYIXIIIIIIII
  E133    = XIIZIXIIIIIIII
  E134    = YIIZIXIIIIIIII
  E135    = ZIIZIXIIIIIIII
  E136    = XIIIXXIIIIIIII
  E137    = YIIIXXIIIIIIII
  E138    = ZIIIXXIIIIIIII
  E139    = XIIIYIZIIIIIII
  E140    = YIIIYIZIIIIIII
  E141    = ZIIIYIZIIIIIII
  E142    = XIIIZIZIIIIIII
  E143    = YIIIZIZIIIIIII
  E144    = ZIIIZIZIIIIIII
  E145    = XIIIYIIIIIIIIZ
  E146    = YIIIYIIIIIIIIZ
  E147    = ZIIIYIIIIIIIIZ
  E148    = XIIIZIIIIIIIIZ
  E149    = YIIIZIIIIIIIIZ
  E150    = ZIIIZIIIIIIIIZ
  E151    = XIIIIYIZIIIIII
  E152    = YIIIIYIZIIIIII
  E153    = ZIIIIYIZIIIIII
  E154    = XIIIIZIZIIIIII
  E155    = YIIIIZIZIIIIII
  E156    = ZIIIIZIZIIIIII
  E157    = XIIIIYIIIIIIZI
  E158    = YIIIIYIIIIIIZI
  E159    = ZIIIIYIIIIIIZI
