STAGE-1 UNDETECTED SET U_8   (218 errors)

YIIIIIIIIIIIII  Y_0
IXIIIIIIIIIIII  X_1
IIXIIIIIIIIIII  X_2
IIIIIIIIIIIIYI  Y_12
YXIIIIIIIIIIII  Y_0 X_1
YIXIIIIIIIIIII  Y_0 X_2
YIIIIIIIIIIIYI  Y_0 Y_12
IXXIIIIIIIIIII  X_1 X_2
IXIIIIIIIIIIYI  X_1 Y_12
IIXIIIIIIIIIYI  X_2 Y_12
IIIZIIIIIXIIII  Z_3 X_9
IIIIZIIIIIXIII  Z_4 X_10
IIIIIIYYIIIIII  Y_6 Y_7
YXXIIIIIIIIIII  Y_0 X_1 X_2
YXIIIIIIIIIIYI  Y_0 X_1 Y_12
YIXIIIIIIIIIYI  Y_0 X_2 Y_12
YIIZIIIIIXIIII  Y_0 Z_3 X_9
YIIIZIIIIIXIII  Y_0 Z_4 X_10
YIIIIIYYIIIIII  Y_0 Y_6 Y_7
IXXIIIIIIIIIYI  X_1 X_2 Y_12
IXIZIIIIIXIIII  X_1 Z_3 X_9
IXIIZIIIIIXIII  X_1 Z_4 X_10
IXIIIIYYIIIIII  X_1 Y_6 Y_7
IIXZIIIIIXIIII  X_2 Z_3 X_9
IIXIZIIIIIXIII  X_2 Z_4 X_10
IIXIIIYYIIIIII  X_2 Y_6 Y_7
IIIZIIIIIXIIYI  Z_3 X_9 Y_12
IIIIZIIIIIXIYI  Z_4 X_10 Y_12
IIIIIIYYIIIIYI  Y_6 Y_7 Y_12
YXXIIIIIIIIIYI  Y_0 X_1 X_2 Y_12
YXIZIIIIIXIIII  Y_0 X_1 Z_3 X_9
YXIIZIIIIIXIII  Y_0 X_1 Z_4 X_10
YXIIIIYYIIIIII  Y_0 X_1 Y_6 Y_7
YIXZIIIIIXIIII  Y_0 X_2 Z_3 X_9
YIXIZIIIIIXIII  Y_0 X_2 Z_4 X_10
YIXIIIYYIIIIII  Y_0 X_2 Y_6 Y_7
XIIXYIZIIIIIII  X_0 X_3 Y_4 Z_6
ZIIXYIZIIIIIII  Z_0 X_3 Y_4 Z_6
XIIXIIIIYIIIIX  X_0 X_3 Y_8 X_13
ZIIXIIIIYIIIIX  Z_0 X_3 Y_8 X_13
YIIZIIIIIXIIYI  Y_0 Z_3 X_9 Y_12
XIIIXZIIIIIIIZ  X_0 X_4 Z_5 Z_13
ZIIIXZIIIIIIIZ  Z_0 X_4 Z_5 Z_13
YIIIZIIIIIXIYI  Y_0 Z_4 X_10 Y_12
XIIIIZIIIYIZII  X_0 Z_5 Y_9 Z_11
ZIIIIZIIIYIZII  Z_0 Z_5 Y_9 Z_11
XIIIIYIIIIYIIX  X_0 Y_5 Y_10 X_13
ZIIIIYIIIIYIIX  Z_0 Y_5 Y_10 X_13
YIIIIIYYIIIIYI  Y_0 Y_6 Y_7 Y_12
XIIIIIXIXIIZII  X_0 X_6 X_8 Z_11
ZIIIIIXIXIIZII  Z_0 X_6 X_8 Z_11
XIIIIIIZYIIXII  X_0 Z_7 Y_8 X_11
ZIIIIIIZYIIXII  Z_0 Z_7 Y_8 X_11
XIIIIIIXIYZIII  X_0 X_7 Y_9 Z_10
ZIIIIIIXIYZIII  Z_0 X_7 Y_9 Z_10
IXXZIIIIIXIIII  X_1 X_2 Z_3 X_9
IXXIZIIIIIXIII  X_1 X_2 Z_4 X_10
IXXIIIYYIIIIII  X_1 X_2 Y_6 Y_7
IYIZIZIIIIIIIX  Y_1 Z_3 Z_5 X_13
IZIZIZIIIIIIIX  Z_1 Z_3 Z_5 X_13
IYIZIIZXIIIIII  Y_1 Z_3 Z_6 X_7
IZIZIIZXIIIIII  Z_1 Z_3 Z_6 X_7
IYIZIIXZIIIIII  Y_1 Z_3 X_6 Z_7
IZIZIIXZIIIIII  Z_1 Z_3 X_6 Z_7
IYIZIIIIZIIYII  Y_1 Z_3 Z_8 Y_11
IZIZIIIIZIIYII  Z_1 Z_3 Z_8 Y_11
IXIZIIIIIXIIYI  X_1 Z_3 X_9 Y_12
IYIIXIZIIIIXII  Y_1 X_4 Z_6 X_11
IZIIXIZIIIIXII  Z_1 X_4 Z_6 X_11
IYIIYIXIIIIIIZ  Y_1 Y_4 X_6 Z_13
IZIIYIXIIIIIIZ  Z_1 Y_4 X_6 Z_13
IXIIZIIIIIXIYI  X_1 Z_4 X_10 Y_12
IYIIIXYIIIIZII  Y_1 X_5 Y_6 Z_11
IZIIIXYIIIIZII  Z_1 X_5 Y_6 Z_11
IYIIIYIZIIZIII  Y_1 Y_5 Z_7 Z_10
IZIIIYIZIIZIII  Z_1 Y_5 Z_7 Z_10
IYIIIXIYIIIZII  Y_1 X_5 Y_7 Z_11
IZIIIXIYIIIZII  Z_1 X_5 Y_7 Z_11
IYIIIZIIIXIIIX  Y_1 Z_5 X_9 X_13
IZIIIZIIIXIIIX  Z_1 Z_5 X_9 X_13
IYIIIIZXIXIIII  Y_1 Z_6 X_7 X_9
IZIIIIZXIXIIII  Z_1 Z_6 X_7 X_9
IYIIIIXZIXIIII  Y_1 X_6 Z_7 X_9
IZIIIIXZIXIIII  Z_1 X_6 Z_7 X_9
IXIIIIYYIIIIYI  X_1 Y_6 Y_7 Y_12
IYIIIIYIYIIIIY  Y_1 Y_6 Y_8 Y_13
IZIIIIYIYIIIIY  Z_1 Y_6 Y_8 Y_13
IYIIIIIXXIYIII  Y_1 X_7 X_8 Y_10
IZIIIIIXXIYIII  Z_1 X_7 X_8 Y_10
IYIIIIIYYIIIIY  Y_1 Y_7 Y_8 Y_13
IZIIIIIYYIIIIY  Z_1 Y_7 Y_8 Y_13
IYIIIIIIZXIYII  Y_1 Z_8 X_9 Y_11
IZIIIIIIZXIYII  Z_1 Z_8 X_9 Y_11
IIYYYZIIIIIIII  Y_2 Y_3 Y_4 Z_5
IIZYYZIIIIIIII  Z_2 Y_3 Y_4 Z_5
IIYXIIXIIIIIIY  Y_2 X_3 X_6 Y_13
IIZXIIXIIIIIIY  Z_2 X_3 X_6 Y_13
IIYYIIIXYIIIII  Y_2 Y_3 X_7 Y_8
IIZYIIIXYIIIII  Z_2 Y_3 X_7 Y_8
IIXZIIIIIXIIYI  X_2 Z_3 X_9 Y_12
IIYXIIIIIIYYII  Y_2 X_3 Y_10 Y_11
IIZXIIIIIIYYII  Z_2 X_3 Y_10 Y_11
IIYIZIXXIIIIII  Y_2 Z_4 X_6 X_7
IIZIZIXXIIIIII  Z_2 Z_4 X_6 X_7
IIYIZIZZIIIIII  Y_2 Z_4 Z_6 Z_7
IIZIZIZZIIIIII  Z_2 Z_4 Z_6 Z_7
IIYIXIIIZYIIII  Y_2 X_4 Z_8 Y_9
IIZIXIIIZYIIII  Z_2 X_4 Z_8 Y_9
IIXIZIIIIIXIYI  X_2 Z_4 X_10 Y_12
IIYIIXIZIYIIII  Y_2 X_5 Z_7 Y_9
IIZIIXIZIYIIII  Z_2 X_5 Z_7 Y_9
IIYIIYIIYIIYII  Y_2 Y_5 Y_8 Y_11
IIZIIYIIYIIYII  Z_2 Y_5 Y_8 Y_11
IIYIIXIIXIIIIX  Y_2 X_5 X_8 X_13
IIZIIXIIXIIIIX  Z_2 X_5 X_8 X_13
IIYIIZIIIIIXIY  Y_2 Z_5 X_11 Y_13
IIZIIZIIIIIXIY  Z_2 Z_5 X_11 Y_13
IIYIIIXXIIXIII  Y_2 X_6 X_7 X_10
IIZIIIXXIIXIII  Z_2 X_6 X_7 X_10
IIYIIIZZIIXIII  Y_2 Z_6 Z_7 X_10
IIZIIIZZIIXIII  Z_2 Z_6 Z_7 X_10
IIXIIIYYIIIIYI  X_2 Y_6 Y_7 Y_12
IIYIIIZIIZIZII  Y_2 Z_6 Z_9 Z_11
IIZIIIZIIZIZII  Z_2 Z_6 Z_9 Z_11
IIYIIIIIZIIZIZ  Y_2 Z_8 Z_11 Z_13
IIZIIIIIZIIZIZ  Z_2 Z_8 Z_11 Z_13
IIYIIIIIIZZIIX  Y_2 Z_9 Z_10 X_13
IIZIIIIIIZZIIX  Z_2 Z_9 Z_10 X_13
IIIXXYIIIIIZII  X_3 X_4 Y_5 Z_11
IIIYZIXIYIIIII  Y_3 Z_4 X_6 Y_8
IIIYXIYIIIIIIX  Y_3 X_4 Y_6 X_13
IIIZXIIXIIIXII  Z_3 X_4 X_7 X_11
IIIYXIIYIIIIIX  Y_3 X_4 Y_7 X_13
IIIXZIIXIIIIIY  X_3 Z_4 X_7 Y_13
IIIZYIIZIIIIIZ  Z_3 Y_4 Z_7 Z_13
IIIZZIIIIXXIII  Z_3 Z_4 X_9 X_10
IIIYYIIIIIIXIY  Y_3 Y_4 X_11 Y_13
IIIYIYZIZIIIII  Y_3 Y_5 Z_6 Z_8
IIIZIYXIIIZIII  Z_3 Y_5 X_6 Z_10
IIIXIZXIIIIXII  X_3 Z_5 X_6 X_11
IIIYIYIXIIIYII  Y_3 Y_5 X_7 Y_11
IIIXIYIIYIYIII  X_3 Y_5 Y_8 Y_10
IIIXIYIIIYIIIZ  X_3 Y_5 Y_9 Z_13
IIIYIYIIIZIIIZ  Y_3 Y_5 Z_9 Z_13
IIIYIXIIIIZXII  Y_3 X_5 Z_10 X_11
IIIZIIYYIXIIII  Z_3 Y_6 Y_7 X_9
IIIYIIXIYIXIII  Y_3 X_6 Y_8 X_10
IIIZIIZIXIYIII  Z_3 Z_6 X_8 Y_10
IIIXIIYIZIZIII  X_3 Y_6 Z_8 Z_10
IIIXIIIYZIZIII  X_3 Y_7 Z_8 Z_10
IIIYIIIZIIYIXI  Y_3 Z_7 Y_10 X_12
IIIYIIIZIIYIZI  Y_3 Z_7 Y_10 Z_12
IIIXIIIXIIXIIY  X_3 X_7 X_10 Y_13
IIIXIIIZIIIXIX  X_3 Z_7 X_11 X_13
IIIXIIIIXYIXII  X_3 X_8 Y_9 X_11
IIIYIIIIXZIXII  Y_3 X_8 Z_9 X_11
IIIYIIIIZIIIXY  Y_3 Z_8 X_12 Y_13
IIIYIIIIZIIIZY  Y_3 Z_8 Z_12 Y_13
IIIIZYYIXIIIII  Z_4 Y_5 Y_6 X_8
IIIIZXZIIYIIII  Z_4 X_5 Z_6 Y_9
IIIIXXXIIIIYII  X_4 X_5 X_6 Y_11
IIIIZYIYXIIIII  Z_4 Y_5 Y_7 X_8
IIIIYZIXYIIIII  Y_4 Z_5 X_7 Y_8
IIIIXXIZZIIIII  X_4 X_5 Z_7 Z_8
IIIIXXIIIIYIIY  X_4 X_5 Y_10 Y_13
IIIIYXIIIIZIIY  Y_4 X_5 Z_10 Y_13
IIIIZIYYIIXIII  Z_4 Y_6 Y_7 X_10
IIIIYIZIYIIIIX  Y_4 Z_6 Y_8 X_13
IIIIYIYIIYIYII  Y_4 Y_6 Y_9 Y_11
IIIIXIXIIZIIXI  X_4 X_6 Z_9 X_12
IIIIXIXIIZIIZI  X_4 X_6 Z_9 Z_12
IIIIZIYIIIIXIZ  Z_4 Y_6 X_11 Z_13
IIIIXIIXIXIXII  X_4 X_7 X_9 X_11
IIIIYIIYIYIYII  Y_4 Y_7 Y_9 Y_11
IIIIZIIZIZIZII  Z_4 Z_7 Z_9 Z_11
IIIIYIIZIXIIIZ  Y_4 Z_7 X_9 Z_13
IIIIZIIYIIIXIZ  Z_4 Y_7 X_11 Z_13
IIIIYIIIXZIIIY  Y_4 X_8 Z_9 Y_13
IIIIXIIIYIYZII  X_4 Y_8 Y_10 Z_11
IIIIYIIIYIZZII  Y_4 Y_8 Z_10 Z_11
IIIIYIIIZIIXXI  Y_4 Z_8 X_11 X_12
IIIIYIIIZIIXZI  Y_4 Z_8 X_11 Z_12
IIIIXIIIIYIZIZ  X_4 Y_9 Z_11 Z_13
IIIIIZZXIIIIIX  Z_5 Z_6 X_7 X_13
IIIIIZXZIIIIIX  Z_5 X_6 Z_7 X_13
IIIIIZXIXYIIII  Z_5 X_6 X_8 Y_9
IIIIIYYIXIXIII  Y_5 Y_6 X_8 X_10
IIIIIXZIIYXIII  X_5 Z_6 Y_9 X_10
IIIIIZYIIZYIII  Z_5 Y_6 Z_9 Y_10
IIIIIYXIIXZIII  Y_5 X_6 X_9 Z_10
IIIIIYZIIIIIXY  Y_5 Z_6 X_12 Y_13
IIIIIYZIIIIIZY  Y_5 Z_6 Z_12 Y_13
IIIIIYIYXIXIII  Y_5 Y_7 X_8 X_10
IIIIIZIYIZYIII  Z_5 Y_7 Z_9 Y_10
IIIIIZIXIIZZII  Z_5 X_7 Z_10 Z_11
IIIIIXIXIIIIXZ  X_5 X_7 X_12 Z_13
IIIIIXIXIIIIZZ  X_5 X_7 Z_12 Z_13
IIIIIXIIXZZIII  X_5 X_8 Z_9 Z_10
IIIIIZIIZIIYIX  Z_5 Z_8 Y_11 X_13
IIIIIXIIYIIZIY  X_5 Y_8 Z_11 Y_13
IIIIIYIIXIIXIZ  Y_5 X_8 X_11 Z_13
IIIIIXIIIZIYXI  X_5 Z_9 Y_11 X_12
IIIIIXIIIZIYZI  X_5 Z_9 Y_11 Z_12
IIIIIIZXZIIYII  Z_6 X_7 Z_8 Y_11
IIIIIIXZZIIYII  X_6 Z_7 Z_8 Y_11
IIIIIIZIXXYIII  Z_6 X_8 X_9 Y_10
IIIIIIZIZZIIIZ  Z_6 Z_8 Z_9 Z_13
IIIIIIZIIIZZIX  Z_6 Z_10 Z_11 X_13
IIIIIIXIIIYYIY  X_6 Y_10 Y_11 Y_13
IIIIIIYIIIXXIZ  Y_6 X_10 X_11 Z_13
IIIIIIIZXYIIIX  Z_7 X_8 Y_9 X_13
IIIIIIIZZIYIIY  Z_7 Z_8 Y_10 Y_13
IIIIIIIZIZXZII  Z_7 Z_9 X_10 Z_11
IIIIIIIXIZIYIZ  X_7 Z_9 Y_11 Z_13
IIIIIIIYIIXXIZ  Y_7 X_10 X_11 Z_13
IIIIIIIIYYYIIZ  Y_8 Y_9 Y_10 Z_13
IIIIIIIIXIZYXI  X_8 Z_10 Y_11 X_12
