Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)
  E30     = ZZIIIIIXIIIIII
  E31     = XXIIIIIIXIIIII
  E32     = YYIIIIIIXIIIII
  E33     = ZYIIIIIIXIIIII
  E34     = YZIIIIIIXIIIII
  E35     = ZZIIIIIIXIIIII
  E36     = XXIIIIIIIXIIII
  E37     = YYIIIIIIIXIIII
  E38     = ZYIIIIIIIXIIII
  E39     = YZIIIIIIIXIIII
  E40     = ZZIIIIIIIXIIII
  E41     = XXIIIIIIIIXIII
  E42     = YYIIIIIIIIXIII
  E43     = ZYIIIIIIIIXIII
  E44     = YZIIIIIIIIXIII
  E45     = ZZIIIIIIIIXIII
  E46     = XXIIIIIIIIIXII
  E47     = YYIIIIIIIIIXII
  E48     = ZYIIIIIIIIIXII
  E49     = YZIIIIIIIIIXII
  E50     = ZZIIIIIIIIIXII
  E51     = XXIIIIIIIIIIXI
  E52     = YYIIIIIIIIIIXI
  E53     = ZYIIIIIIIIIIXI
  E54     = YZIIIIIIIIIIXI
  E55     = ZZIIIIIIIIIIXI
  E56     = XXIIIIIIIIIIIX
  E57     = YYIIIIIIIIIIIX
  E58     = ZYIIIIIIIIIIIX
  E59     = YZIIIIIIIIIIIX
  E60     = ZZIIIIIIIIIIIX
  E61     = XIXXIIIIIIIIII
  E62     = XIYYIIIIIIIIII
  E63     = XIZYIIIIIIIIII
  E64     = XIYZIIIIIIIIII
  E65     = XIZZIIIIIIIIII
  E66     = XIXIXIIIIIIIII
  E67     = XIXIIXIIIIIIII
  E68     = XIXIIIXIIIIIII
  E69     = YIYIIIYIIIIIII
  E70     = ZIYIIIYIIIIIII
  E71     = YIZIIIYIIIIIII
  E72     = ZIZIIIYIIIIIII
  E73     = YIYIIIZIIIIIII
  E74     = ZIYIIIZIIIIIII
  E75     = YIZIIIZIIIIIII
  E76     = ZIZIIIZIIIIIII
  E77     = XIXIIIIXIIIIII
  E78     = YIYIIIIYIIIIII
  E79     = ZIYIIIIYIIIIII
  E80     = YIZIIIIYIIIIII
  E81     = ZIZIIIIYIIIIII
  E82     = YIYIIIIZIIIIII
  E83     = ZIYIIIIZIIIIII
  E84     = YIZIIIIZIIIIII
  E85     = ZIZIIIIZIIIIII
  E86     = XIXIIIIIXIIIII
  E87     = XIXIIIIIIXIIII
  E88     = XIXIIIIIIIXIII
  E89     = XIXIIIIIIIIXII
  E90     = XIXIIIIIIIIIXI
  E91     = XIXIIIIIIIIIIX
  E92     = XIIXXIIIIIIIII
  E93     = XIIXIXIIIIIIII
  E94     = XIIXIIXIIIIIII
  E95     = YIIYIIYIIIIIII
  E96     = ZIIYIIYIIIIIII
  E97     = YIIZIIYIIIIIII
  E98     = ZIIZIIYIIIIIII
  E99     = YIIYIIZIIIIIII
  E100    = ZIIYIIZIIIIIII
  E101    = YIIZIIZIIIIIII
  E102    = ZIIZIIZIIIIIII
  E103    = XIIXIIIXIIIIII
  E104    = YIIYIIIYIIIIII
  E105    = ZIIYIIIYIIIIII
  E106    = YIIZIIIYIIIIII
  E107    = ZIIZIIIYIIIIII
  E108    = YIIYIIIZIIIIII
  E109    = ZIIYIIIZIIIIII
  E110    = YIIZIIIZIIIIII
  E111    = ZIIZIIIZIIIIII
  E112    = XIIXIIIIXIIIII
  E113    = XIIXIIIIIXIIII
  E114    = XIIXIIIIIIXIII
  E115    = XIIXIIIIIIIXII
  E116    = XIIXIIIIIIIIXI
  E117    = XIIXIIIIIIIIIX
  E118    = XIIIXXIIIIIIII
  E119    = XIIIYYIIIIIIII
  E120    = XIIIZYIIIIIIII
  E121    = XIIIYZIIIIIIII
  E122    = XIIIZZIIIIIIII
  E123    = XIIIXIXIIIIIII
  E124    = XIIIXIIXIIIIII
  E125    = XIIIXIIIXIIIII
  E126    = YIIIYIIIYIIIII
  E127    = ZIIIYIIIYIIIII
  E128    = YIIIZIIIYIIIII
  E129    = ZIIIZIIIYIIIII
  E130    = YIIIYIIIZIIIII
  E131    = ZIIIYIIIZIIIII
  E132    = YIIIZIIIZIIIII
  E133    = ZIIIZIIIZIIIII
  E134    = XIIIXIIIIXIIII
  E135    = YIIIYIIIIYIIII
  E136    = ZIIIYIIIIYIIII
  E137    = YIIIZIIIIYIIII
  E138    = ZIIIZIIIIYIIII
  E139    = YIIIYIIIIZIIII
  E140    = ZIIIYIIIIZIIII
  E141    = YIIIZIIIIZIIII
  E142    = ZIIIZIIIIZIIII
  E143    = XIIIXIIIIIXIII
  E144    = XIIIXIIIIIIXII
  E145    = XIIIXIIIIIIIXI
  E146    = XIIIXIIIIIIIIX
  E147    = XIIIIXXIIIIIII
  E148    = XIIIIXIXIIIIII
  E149    = XIIIIXIIXIIIII
  E150    = YIIIIYIIYIIIII
  E151    = ZIIIIYIIYIIIII
  E152    = YIIIIZIIYIIIII
  E153    = ZIIIIZIIYIIIII
  E154    = YIIIIYIIZIIIII
  E155    = ZIIIIYIIZIIIII
  E156    = YIIIIZIIZIIIII
  E157    = ZIIIIZIIZIIIII
  E158    = XIIIIXIIIXIIII
  E159    = YIIIIYIIIYIIII
  E160    = ZIIIIYIIIYIIII
  E161    = YIIIIZIIIYIIII
  E162    = ZIIIIZIIIYIIII
  E163    = YIIIIYIIIZIIII
  E164    = ZIIIIYIIIZIIII
  E165    = YIIIIZIIIZIIII
  E166    = ZIIIIZIIIZIIII
  E167    = XIIIIXIIIIXIII
  E168    = XIIIIXIIIIIXII
  E169    = XIIIIXIIIIIIXI
  E170    = XIIIIXIIIIIIIX
  E171    = XIIIIIXXIIIIII
  E172    = XIIIIIYYIIIIII
  E173    = XIIIIIZYIIIIII
  E174    = XIIIIIYZIIIIII
  E175    = XIIIIIZZIIIIII
  E176    = XIIIIIXIXIIIII
  E177    = XIIIIIXIIXIIII
  E178    = XIIIIIXIIIXIII
  E179    = XIIIIIXIIIIXII
  E180    = XIIIIIXIIIIIXI
  E181    = XIIIIIXIIIIIIX
  E182    = XIIIIIIXXIIIII
  E183    = XIIIIIIXIXIIII
  E184    = XIIIIIIXIIXIII
  E185    = XIIIIIIXIIIXII
  E186    = XIIIIIIXIIIIXI
  E187    = XIIIIIIXIIIIIX
  E188    = XIIIIIIIXXIIII
  E189    = XIIIIIIIYYIIII
  E190    = XIIIIIIIZYIIII
  E191    = XIIIIIIIYZIIII
  E192    = XIIIIIIIZZIIII
  E193    = XIIIIIIIXIXIII
  E194    = XIIIIIIIXIIXII
  E195    = XIIIIIIIXIIIXI
  E196    = XIIIIIIIXIIIIX
  E197    = XIIIIIIIIXXIII
  E198    = XIIIIIIIIXIXII
  E199    = XIIIIIIIIXIIXI
  E200    = XIIIIIIIIXIIIX
  E201    = XIIIIIIIIIXXII
  E202    = XIIIIIIIIIYYII
  E203    = XIIIIIIIIIZYII
  E204    = XIIIIIIIIIYZII
  E205    = XIIIIIIIIIZZII
  E206    = XIIIIIIIIIXIXI
  E207    = YIIIIIIIIIYIYI
  E208    = ZIIIIIIIIIYIYI
  E209    = YIIIIIIIIIZIYI
  E210    = ZIIIIIIIIIZIYI
  E211    = YIIIIIIIIIYIZI
  E212    = ZIIIIIIIIIYIZI
  E213    = YIIIIIIIIIZIZI
  E214    = ZIIIIIIIIIZIZI
  E215    = XIIIIIIIIIXIIX
  E216    = YIIIIIIIIIYIIY
  E217    = ZIIIIIIIIIYIIY
  E218    = YIIIIIIIIIZIIY
  E219    = ZIIIIIIIIIZIIY
  E220    = YIIIIIIIIIYIIZ
  E221    = ZIIIIIIIIIYIIZ
  E222    = YIIIIIIIIIZIIZ
  E223    = ZIIIIIIIIIZIIZ
  E224    = XIIIIIIIIIIXXI
  E225    = YIIIIIIIIIIYYI
  E226    = ZIIIIIIIIIIYYI
  E227    = YIIIIIIIIIIZYI
  E228    = ZIIIIIIIIIIZYI
  E229    = YIIIIIIIIIIYZI
  E230    = ZIIIIIIIIIIYZI
  E231    = YIIIIIIIIIIZZI
  E232    = ZIIIIIIIIIIZZI
  E233    = XIIIIIIIIIIXIX
  E234    = YIIIIIIIIIIYIY
  E235    = ZIIIIIIIIIIYIY
  E236    = YIIIIIIIIIIZIY
  E237    = ZIIIIIIIIIIZIY
  E238    = YIIIIIIIIIIYIZ
  E239    = ZIIIIIIIIIIYIZ
  E240    = YIIIIIIIIIIZIZ
  E241    = ZIIIIIIIIIIZIZ
  E242    = XIIIIIIIIIIIXX
  E243    = XIIIIIIIIIIIYY
  E244    = XIIIIIIIIIIIZY
  E245    = XIIIIIIIIIIIYZ
  E246    = XIIIIIIIIIIIZZ
  E247    = IXXXIIIIIIIIII
  E248    = IXYYIIIIIIIIII
  E249    = IXZYIIIIIIIIII
  E250    = IXYZIIIIIIIIII
  E251    = IXZZIIIIIIIIII
  E252    = IXXIXIIIIIIIII
  E253    = IXXIIXIIIIIIII
  E254    = IXXIIIXIIIIIII
  E255    = IYYIIIYIIIIIII
  E256    = IZYIIIYIIIIIII
  E257    = IYZIIIYIIIIIII
  E258    = IZZIIIYIIIIIII
  E259    = IYYIIIZIIIIIII
  E260    = IZYIIIZIIIIIII
  E261    = IYZIIIZIIIIIII
  E262    = IZZIIIZIIIIIII
  E263    = IXXIIIIXIIIIII
  E264    = IYYIIIIYIIIIII
  E265    = IZYIIIIYIIIIII
  E266    = IYZIIIIYIIIIII
  E267    = IZZIIIIYIIIIII
  E268    = IYYIIIIZIIIIII
  E269    = IZYIIIIZIIIIII
  E270    = IYZIIIIZIIIIII
  E271    = IZZIIIIZIIIIII
  E272    = IXXIIIIIXIIIII
  E273    = IXXIIIIIIXIIII
  E274    = IXXIIIIIIIXIII
  E275    = IXXIIIIIIIIXII
  E276    = IXXIIIIIIIIIXI
  E277    = IXXIIIIIIIIIIX
  E278    = IXIXXIIIIIIIII
  E279    = IXIXIXIIIIIIII
  E280    = IXIXIIXIIIIIII
  E281    = IYIYIIYIIIIIII
  E282    = IZIYIIYIIIIIII
  E283    = IYIZIIYIIIIIII
  E284    = IZIZIIYIIIIIII
  E285    = IYIYIIZIIIIIII
  E286    = IZIYIIZIIIIIII
  E287    = IYIZIIZIIIIIII
  E288    = IZIZIIZIIIIIII
  E289    = IXIXIIIXIIIIII
  E290    = IYIYIIIYIIIIII
  E291    = IZIYIIIYIIIIII
  E292    = IYIZIIIYIIIIII
  E293    = IZIZIIIYIIIIII
  E294    = IYIYIIIZIIIIII
  E295    = IZIYIIIZIIIIII
  E296    = IYIZIIIZIIIIII
  E297    = IZIZIIIZIIIIII
  E298    = IXIXIIIIXIIIII
  E299    = IXIXIIIIIXIIII
  E300    = IXIXIIIIIIXIII
  E301    = IXIXIIIIIIIXII
  E302    = IXIXIIIIIIIIXI
  E303    = IXIXIIIIIIIIIX
  E304    = IXIIXXIIIIIIII
  E305    = IXIIYYIIIIIIII
  E306    = IXIIZYIIIIIIII
  E307    = IXIIYZIIIIIIII
  E308    = IXIIZZIIIIIIII
  E309    = IXIIXIXIIIIIII
  E310    = IXIIXIIXIIIIII
  E311    = IXIIXIIIXIIIII
  E312    = IYIIYIIIYIIIII
  E313    = IZIIYIIIYIIIII
  E314    = IYIIZIIIYIIIII
  E315    = IZIIZIIIYIIIII
  E316    = IYIIYIIIZIIIII
  E317    = IZIIYIIIZIIIII
  E318    = IYIIZIIIZIIIII
  E319    = IZIIZIIIZIIIII
  E320    = IXIIXIIIIXIIII
  E321    = IYIIYIIIIYIIII
  E322    = IZIIYIIIIYIIII
  E323    = IYIIZIIIIYIIII
  E324    = IZIIZIIIIYIIII
  E325    = IYIIYIIIIZIIII
  E326    = IZIIYIIIIZIIII
  E327    = IYIIZIIIIZIIII
  E328    = IZIIZIIIIZIIII
  E329    = IXIIXIIIIIXIII
  E330    = IXIIXIIIIIIXII
  E331    = IXIIXIIIIIIIXI
  E332    = IXIIXIIIIIIIIX
  E333    = IXIIIXXIIIIIII
  E334    = IXIIIXIXIIIIII
  E335    = IXIIIXIIXIIIII
  E336    = IYIIIYIIYIIIII
  E337    = IZIIIYIIYIIIII
  E338    = IYIIIZIIYIIIII
  E339    = IZIIIZIIYIIIII
  E340    = IYIIIYIIZIIIII
  E341    = IZIIIYIIZIIIII
  E342    = IYIIIZIIZIIIII
  E343    = IZIIIZIIZIIIII
  E344    = IXIIIXIIIXIIII
  E345    = IYIIIYIIIYIIII
  E346    = IZIIIYIIIYIIII
  E347    = IYIIIZIIIYIIII
  E348    = IZIIIZIIIYIIII
  E349    = IYIIIYIIIZIIII
  E350    = IZIIIYIIIZIIII
  E351    = IYIIIZIIIZIIII
  E352    = IZIIIZIIIZIIII
  E353    = IXIIIXIIIIXIII
  E354    = IXIIIXIIIIIXII
  E355    = IXIIIXIIIIIIXI
  E356    = IXIIIXIIIIIIIX
  E357    = IXIIIIXXIIIIII
  E358    = IXIIIIYYIIIIII
  E359    = IXIIIIZYIIIIII
  E360    = IXIIIIYZIIIIII
  E361    = IXIIIIZZIIIIII
  E362    = IXIIIIXIXIIIII
  E363    = IXIIIIXIIXIIII
  E364    = IXIIIIXIIIXIII
  E365    = IXIIIIXIIIIXII
  E366    = IXIIIIXIIIIIXI
  E367    = IXIIIIXIIIIIIX
  E368    = IXIIIIIXXIIIII
  E369    = IXIIIIIXIXIIII
  E370    = IXIIIIIXIIXIII
  E371    = IXIIIIIXIIIXII
  E372    = IXIIIIIXIIIIXI
  E373    = IXIIIIIXIIIIIX
  E374    = IXIIIIIIXXIIII
  E375    = IXIIIIIIYYIIII
  E376    = IXIIIIIIZYIIII
  E377    = IXIIIIIIYZIIII
  E378    = IXIIIIIIZZIIII
  E379    = IXIIIIIIXIXIII
  E380    = IXIIIIIIXIIXII
  E381    = IXIIIIIIXIIIXI
  E382    = IXIIIIIIXIIIIX
  E383    = IXIIIIIIIXXIII
  E384    = IXIIIIIIIXIXII
  E385    = IXIIIIIIIXIIXI
  E386    = IXIIIIIIIXIIIX
  E387    = IXIIIIIIIIXXII
  E388    = IXIIIIIIIIYYII
  E389    = IXIIIIIIIIZYII
  E390    = IXIIIIIIIIYZII
  E391    = IXIIIIIIIIZZII
  E392    = IXIIIIIIIIXIXI
  E393    = IYIIIIIIIIYIYI
  E394    = IZIIIIIIIIYIYI
  E395    = IYIIIIIIIIZIYI
  E396    = IZIIIIIIIIZIYI
  E397    = IYIIIIIIIIYIZI
  E398    = IZIIIIIIIIYIZI
  E399    = IYIIIIIIIIZIZI
  E400    = IZIIIIIIIIZIZI
  E401    = IXIIIIIIIIXIIX
  E402    = IYIIIIIIIIYIIY
  E403    = IZIIIIIIIIYIIY
  E404    = IYIIIIIIIIZIIY
  E405    = IZIIIIIIIIZIIY
  E406    = IYIIIIIIIIYIIZ
  E407    = IZIIIIIIIIYIIZ
  E408    = IYIIIIIIIIZIIZ
  E409    = IZIIIIIIIIZIIZ
  E410    = IXIIIIIIIIIXXI
  E411    = IYIIIIIIIIIYYI
  E412    = IZIIIIIIIIIYYI
  E413    = IYIIIIIIIIIZYI
  E414    = IZIIIIIIIIIZYI
  E415    = IYIIIIIIIIIYZI
  E416    = IZIIIIIIIIIYZI
  E417    = IYIIIIIIIIIZZI
  E418    = IZIIIIIIIIIZZI
  E419    = IXIIIIIIIIIXIX
  E420    = IYIIIIIIIIIYIY
  E421    = IZIIIIIIIIIYIY
  E422    = IYIIIIIIIIIZIY
  E423    = IZIIIIIIIIIZIY
  E424    = IYIIIIIIIIIYIZ
  E425    = IZIIIIIIIIIYIZ
  E426    = IYIIIIIIIIIZIZ
  E427    = IZIIIIIIIIIZIZ
  E428    = IXIIIIIIIIIIXX
  E429    = IXIIIIIIIIIIYY
  E430    = IXIIIIIIIIIIZY
  E431    = IXIIIIIIIIIIYZ
  E432    = IXIIIIIIIIIIZZ
  E433    = IIXXXIIIIIIIII
  E434    = IIYYXIIIIIIIII
  E435    = IIZYXIIIIIIIII
  E436    = IIYZXIIIIIIIII
  E437    = IIZZXIIIIIIIII
  E438    = IIXXIXIIIIIIII
  E439    = IIYYIXIIIIIIII
  E440    = IIZYIXIIIIIIII
  E441    = IIYZIXIIIIIIII
  E442    = IIZZIXIIIIIIII
  E443    = IIXXIIXIIIIIII
  E444    = IIYYIIXIIIIIII
  E445    = IIZYIIXIIIIIII
  E446    = IIYZIIXIIIIIII
  E447    = IIZZIIXIIIIIII
  E448    = IIXXIIIXIIIIII
  E449    = IIYYIIIXIIIIII
  E450    = IIZYIIIXIIIIII
  E451    = IIYZIIIXIIIIII
  E452    = IIZZIIIXIIIIII
  E453    = IIXXIIIIXIIIII
  E454    = IIYYIIIIXIIIII
  E455    = IIZYIIIIXIIIII
  E456    = IIYZIIIIXIIIII
  E457    = IIZZIIIIXIIIII
  E458    = IIXXIIIIIXIIII
  E459    = IIYYIIIIIXIIII
  E460    = IIZYIIIIIXIIII
  E461    = IIYZIIIIIXIIII
  E462    = IIZZIIIIIXIIII
  E463    = IIXXIIIIIIXIII
  E464    = IIYYIIIIIIXIII
  E465    = IIZYIIIIIIXIII
  E466    = IIYZIIIIIIXIII
  E467    = IIZZIIIIIIXIII
  E468    = IIXXIIIIIIIXII
  E469    = IIYYIIIIIIIXII
  E470    = IIZYIIIIIIIXII
  E471    = IIYZIIIIIIIXII
  E472    = IIZZIIIIIIIXII
  E473    = IIXXIIIIIIIIXI
  E474    = IIYYIIIIIIIIXI
  E475    = IIZYIIIIIIIIXI
  E476    = IIYZIIIIIIIIXI
  E477    = IIZZIIIIIIIIXI
  E478    = IIXXIIIIIIIIIX
  E479    = IIYYIIIIIIIIIX
  E480    = IIZYIIIIIIIIIX
  E481    = IIYZIIIIIIIIIX
  E482    = IIZZIIIIIIIIIX
  E483    = IIXIXXIIIIIIII
  E484    = IIXIYYIIIIIIII
  E485    = IIXIZYIIIIIIII
  E486    = IIXIYZIIIIIIII
  E487    = IIXIZZIIIIIIII
  E488    = IIXIXIXIIIIIII
  E489    = IIXIXIIXIIIIII
  E490    = IIXIXIIIXIIIII
  E491    = IIXIXIIIIXIIII
  E492    = IIXIXIIIIIXIII
  E493    = IIYIYIIIIIYIII
  E494    = IIZIYIIIIIYIII
  E495    = IIYIZIIIIIYIII
  E496    = IIZIZIIIIIYIII
  E497    = IIYIYIIIIIZIII
  E498    = IIZIYIIIIIZIII
  E499    = IIYIZIIIIIZIII
  E500    = IIZIZIIIIIZIII
  E501    = IIXIXIIIIIIXII
  E502    = IIYIYIIIIIIYII
  E503    = IIZIYIIIIIIYII
  E504    = IIYIZIIIIIIYII
  E505    = IIZIZIIIIIIYII
  E506    = IIYIYIIIIIIZII
  E507    = IIZIYIIIIIIZII
  E508    = IIYIZIIIIIIZII
  E509    = IIZIZIIIIIIZII
  E510    = IIXIXIIIIIIIXI
  E511    = IIXIXIIIIIIIIX
  E512    = IIXIIXXIIIIIII
  E513    = IIXIIXIXIIIIII
  E514    = IIXIIXIIXIIIII
  E515    = IIXIIXIIIXIIII
  E516    = IIXIIXIIIIXIII
  E517    = IIYIIYIIIIYIII
  E518    = IIZIIYIIIIYIII
  E519    = IIYIIZIIIIYIII
  E520    = IIZIIZIIIIYIII
  E521    = IIYIIYIIIIZIII
  E522    = IIZIIYIIIIZIII
  E523    = IIYIIZIIIIZIII
